semana_inicio,categoria_presupuestaria,registros_excluidos,importe_nominal_excluido
2023-01-23,COMBUSTIBLE,1,219.4
2023-01-30,COMBUSTIBLE,1,220.0
2023-02-06,OTROS,1,120.25
2023-02-27,OTROS,3,215.0
2023-03-06,HERRAMIENTA,2,29.72
2023-03-06,OTROS,1,37.5
2023-03-13,HERRAMIENTA,1,41.0
2023-03-13,OTROS,2,163.0
2023-03-20,COMBUSTIBLE,1,429.8
2023-03-27,HERRAMIENTA,1,45.0
2023-04-10,IMPUTADO,1,380.43
2023-04-17,OTROS,1,28.0
2023-04-24,COMBUSTIBLE,1,215.19
2023-05-01,COMBUSTIBLE,1,217.0
2023-05-01,HERRAMIENTA,1,60.0
2023-05-08,IMPUTADO,1,687.9
2023-05-22,COMBUSTIBLE,2,510.0
2023-05-29,HERRAMIENTA,1,60.0
2023-05-29,OTROS,1,7.0
2023-06-19,IMPUTADO,1,425.77500000000003
2023-06-26,COMBUSTIBLE,1,220.0
2023-07-03,IMPUTADO,1,1280.29
2023-07-10,HERRAMIENTA,1,60.0
2023-07-10,OTROS,1,45.0
2023-07-24,OTROS,1,28.95
2023-07-31,HERRAMIENTA,1,65.0
2023-08-07,HERRAMIENTA,1,20.0
2023-08-28,COMBUSTIBLE,2,440.0
2023-09-11,HERRAMIENTA,1,39.5
2023-09-11,OTROS,1,3.0
2023-09-18,COMBUSTIBLE,1,213.9
2023-09-25,HERRAMIENTA,2,104.0
2023-10-16,OTROS,4,308.97
2023-10-23,IMPUTADO,1,2417.785
2023-10-30,COMBUSTIBLE,3,857.6
2023-10-30,OTROS,1,21.0
2023-11-06,COMBUSTIBLE,1,209.7
2023-11-13,HERRAMIENTA,1,18.5
2023-11-20,OTROS,2,433.0
2023-11-27,HERRAMIENTA,3,119.0
2023-12-04,COMBUSTIBLE,1,425.0
2023-12-04,OTROS,2,249.94
2023-12-11,COMBUSTIBLE,1,212.4
2023-12-11,HERRAMIENTA,2,239.0
2024-01-22,COMBUSTIBLE,1,219.9
2024-01-29,IMPUTADO,1,891.47
2024-02-12,COMBUSTIBLE,1,680.7
2024-02-12,OTROS,1,32.0
2024-02-19,IMPUTADO,1,1693.195
2024-03-18,IMPUTADO,1,803.0
2024-04-08,OTROS,1,45.0
2024-04-15,IMPUTADO,1,303.4
2024-05-06,IMPUTADO,1,1001.94
2024-05-13,IMPUTADO,1,1001.94
2024-05-20,IMPUTADO,1,1001.94
2024-05-27,IMPUTADO,1,1001.94
2024-06-10,IMPUTADO,1,305.44
2024-06-17,IMPUTADO,1,305.44
2024-06-24,IMPUTADO,1,305.44
2024-07-01,IMPUTADO,1,305.44
2024-07-08,IMPUTADO,1,305.44
2024-07-15,IMPUTADO,1,305.44
2024-07-22,IMPUTADO,1,305.44
2024-07-29,IMPUTADO,1,305.44
2024-08-05,IMPUTADO,1,305.44
2024-08-12,IMPUTADO,1,305.44
2024-08-19,IMPUTADO,1,305.44
2024-08-26,IMPUTADO,1,305.44
2024-09-02,IMPUTADO,1,305.44
2024-09-09,IMPUTADO,1,305.44
2024-09-16,IMPUTADO,1,305.44
2024-09-23,IMPUTADO,1,305.44
2024-09-30,IMPUTADO,1,305.44
2024-10-07,IMPUTADO,1,305.44
2024-10-14,IMPUTADO,1,305.44
2024-10-21,IMPUTADO,1,305.44
2024-10-28,IMPUTADO,1,305.44
2024-11-04,IMPUTADO,1,305.44
2024-11-11,IMPUTADO,1,305.44
2024-11-18,IMPUTADO,1,305.44
2024-11-25,IMPUTADO,1,305.44
2024-12-02,IMPUTADO,1,305.44
2024-12-09,IMPUTADO,1,305.44
2024-12-16,IMPUTADO,1,305.44
2024-12-23,IMPUTADO,1,305.44
2024-12-30,IMPUTADO,1,305.44
2025-01-06,IMPUTADO,1,305.44
2025-01-13,IMPUTADO,1,305.44
2025-01-20,IMPUTADO,1,305.44
2025-01-27,IMPUTADO,1,305.44
2025-02-03,IMPUTADO,1,305.44
2025-02-10,IMPUTADO,1,305.44
2025-02-17,IMPUTADO,1,305.44
2025-02-24,IMPUTADO,1,305.44
2025-03-03,IMPUTADO,1,305.44
2025-03-10,IMPUTADO,1,305.44
2025-03-17,IMPUTADO,1,305.44
2025-03-24,IMPUTADO,1,305.44
2025-03-31,IMPUTADO,1,305.44
2025-04-07,IMPUTADO,1,305.44
2025-04-21,IMPUTADO,1,95.5
2025-05-05,HERRAMIENTA,1,135.0
2025-05-12,IMPUTADO,1,749.945
2025-05-26,IMPUTADO,1,326.86
2025-06-16,IMPUTADO,1,877.4549999999999
