semana_inicio,HARINA,CHOCOLATE,FONDANT,EMPAQUE,CHANTILLY,RELLENO,DECORACION,HUEVO,AMBIANTE,DOMO,CAPACILLOS,OTROS,otros
2021-08-02,0.12528017334049654,0.1177938922582453,0.10622492649388302,0.09269517980765095,0.08455242200740275,0.07854898999209707,0.06558774497714379,0.033690612518849146,0.034664886737069765,0.024712091774777945,0.02501679186636096,0.024268139046044062,0.1869641491799786
2021-08-09,0.12528017334049654,0.1177938922582453,0.10622492649388302,0.09269517980765095,0.08455242200740275,0.07854898999209707,0.06558774497714379,0.033690612518849146,0.034664886737069765,0.024712091774777945,0.02501679186636096,0.024268139046044062,0.1869641491799786
2021-08-16,0.12528017334049654,0.1177938922582453,0.10622492649388302,0.09269517980765095,0.08455242200740275,0.07854898999209707,0.06558774497714379,0.033690612518849146,0.034664886737069765,0.024712091774777945,0.02501679186636096,0.024268139046044062,0.1869641491799786
2021-08-23,0.11744386873920552,0.0,0.14335060449050085,0.18998272884283246,0.07599309153713299,0.14335060449050085,0.25906735751295334,0.0,0.0,0.0,0.0,0.0,0.07081174438687392
2021-08-30,0.12528017334049654,0.1177938922582453,0.10622492649388302,0.09269517980765095,0.08455242200740275,0.07854898999209707,0.06558774497714379,0.033690612518849146,0.034664886737069765,0.024712091774777945,0.02501679186636096,0.024268139046044062,0.1869641491799786
2021-09-06,0.0,0.5945945945945946,0.0,0.16216216216216217,0.0,0.0,0.24324324324324326,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-20,0.08937437934458789,0.0,0.16484607745779542,0.0,0.0,0.09731876861966236,0.35749751737835156,0.0,0.0,0.0,0.20854021847070506,0.0,0.08242303872889771
2021-09-27,0.13070692194403533,0.0,0.0,0.21723122238586154,0.2963917525773196,0.22827687776141384,0.0,0.0,0.0,0.0,0.0,0.0,0.12739322533136965
2021-10-04,0.42735042735042733,0.0,0.0,0.0,0.0,0.2564102564102564,0.10256410256410256,0.0,0.21367521367521367,0.0,0.0,0.0,0.0
2021-10-11,0.3383458646616541,0.0,0.0,0.0,0.6616541353383458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-18,0.0,0.0,0.0,0.1702127659574468,0.46808510638297873,0.3617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-25,0.20905923344947736,0.0,0.0,0.09581881533101046,0.24390243902439024,0.23519163763066203,0.0,0.0627177700348432,0.0,0.0,0.13588850174216027,0.0,0.017421602787456445
2021-11-01,0.0,0.24293785310734464,0.0,0.1694915254237288,0.5875706214689266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-08,0.3795620437956204,0.0,0.0,0.26277372262773724,0.0,0.31630170316301703,0.0,0.0,0.0,0.0,0.0,0.0,0.0413625304136253
2021-11-15,0.257479601087942,0.0,0.30099728014505894,0.06346328195829556,0.0,0.0815956482320943,0.0,0.0,0.09066183136899365,0.0,0.0815956482320943,0.0,0.1242067089755213
2021-11-22,0.0,0.2987012987012987,0.3593073593073593,0.0,0.0,0.1471861471861472,0.19480519480519481,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-29,0.18397915988277436,0.1172256593943341,0.0,0.0325626831650928,0.05644198415282753,0.16227070443937916,0.13676326929338978,0.0,0.0,0.0,0.040160642570281124,0.0,0.2705958971019212
2021-12-06,0.1199261992619926,0.0377390137537739,0.20882254277088225,0.15263334451526334,0.17611539751761152,0.0699429721569943,0.11321704126132169,0.022643408252264338,0.0,0.0,0.0,0.0,0.098960080509896
2021-12-13,0.18072289156626506,0.06884681583476764,0.0,0.16179001721170397,0.17900172117039587,0.14457831325301204,0.1549053356282272,0.0,0.09122203098106713,0.0,0.0,0.0,0.0189328743545611
