horizonte,stat,ml,peso,mse,n
4,ss_arima111,hgb,0.5,9143.958503971247,5
4,ss_arima111,hgb,0.75,2462.885024526256,5
4,ss_arima111,rf,0.25,24214.078264942487,5
4,ss_arima111,rf,0.5,11153.33773280882,5
4,ss_arima111,rf,0.75,3111.810029241331,5
4,ss_arima111,ridge,0.25,45035.064852555966,5
4,ss_arima111,ridge,0.5,20368.88327736541,5
4,ss_arima111,ridge,0.75,5387.026711260091,5
4,ss_arima111,mlp,0.25,23713.30455314092,5
4,ss_arima111,mlp,0.5,10807.568438553617,5
4,ss_arima111,mlp,0.75,2932.9653055866474,5
4,ss_arima111,rf_residual__ss_arima111,0.25,13680.868148336736,5
4,ss_arima111,rf_residual__ss_arima111,0.5,6262.770599427131,5
4,ss_arima111,rf_residual__ss_arima111,0.75,1732.3129347282234,5
4,ss_arima111,nn_residual__ss_arima111,0.25,16040.51453695034,5
4,ss_arima111,nn_residual__ss_arima111,0.5,7355.663268106025,5
4,ss_arima111,nn_residual__ss_arima111,0.75,2038.6568072025816,5
4,ses,hgb,0.25,19977.574669480164,5
4,ses,hgb,0.5,8924.616779423472,5
4,ses,hgb,0.75,2270.2826201674134,5
4,ses,rf,0.25,23912.60489788281,5
4,ses,rf,0.5,10738.886082974588,5
4,ses,rf,0.75,2772.8751809176456,5
4,ses,ridge,0.25,44767.16684658914,5
4,ses,ridge,0.5,19999.19877565496,5
4,ses,ridge,0.75,5081.667224029243,5
4,ses,mlp,0.25,23514.183057279246,5
4,ses,mlp,0.5,10529.585950316716,5
4,ses,mlp,0.75,2696.3823284609625,5
4,holt_damped,hgb,0.25,20162.357034620876,5
4,holt_damped,hgb,0.5,9178.590501578548,5
4,holt_damped,hgb,0.75,2477.8566912104966,5
4,holt_damped,rf,0.25,23978.02369838826,5
4,holt_damped,rf,0.5,10833.70838561597,5
4,holt_damped,rf,0.75,2861.0856873254606,5
4,holt_damped,ridge,0.25,44745.34016251488,5
4,holt_damped,ridge,0.5,19977.69376552341,5
4,holt_damped,ridge,0.75,5082.632245857357,5
4,holt_damped,mlp,0.25,23498.588122701905,5
4,holt_damped,mlp,0.5,10516.38993951438,5
4,holt_damped,mlp,0.75,2703.5790997859885,5
