fuente,semana_inicio,serie,importe_observado,importe_estimado,estado,metodo
compras,2021-05-24,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-06-07,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-05,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-07-12,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-02,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-09,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-16,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-08-30,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-03-07,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-11,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-04-18,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-02,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-16,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-05-23,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-04,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-07-11,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2022-10-10,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-04-10,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-05-08,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-06-19,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-07-03,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-08-28,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2023-10-23,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-01,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-01-29,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-02-19,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-03-18,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2024-04-15,CAPACILLOS,,15.817656249999999,estimado_promedio_simple,media_aritmetica_categoria
compras,2021-05-10,CASETAS,,5.15625,estimado_promedio_simple,media_aritmetica_categoria
