semana_inicio,total
2021-10-11,133.0
2021-10-18,94.0
2021-10-25,574.0
2021-11-01,88.5
2021-11-08,205.5
2021-11-15,551.5
2021-11-22,231.0
2021-11-29,921.3
2021-12-06,1192.4
2021-12-13,581.0
2021-12-20,307.0
2021-12-27,529.24
2022-01-03,128.0
2022-01-10,981.0
2022-01-17,892.3700000000001
2022-01-24,193.0
2022-01-31,245.4
2022-02-07,886.6
2022-02-14,125.0
2022-02-21,307.0
2022-02-28,518.0
2022-03-07,538.25
2022-03-14,428.5
2022-03-21,317.5
2022-03-28,120.0
2022-04-04,545.0
2022-04-11,939.45
2022-04-18,939.45
2022-04-25,1003.0
2022-05-02,1084.45
2022-05-09,800.0
2022-05-16,874.95
2022-05-23,874.95
2022-05-30,584.0
2022-06-06,132.0
2022-06-13,122.0
2022-06-20,46.0
2022-06-27,609.4
2022-07-04,524.4
2022-07-11,524.4
2022-07-18,90.0
2022-07-25,925.5
2022-08-01,120.0
2022-08-08,80.0
2022-08-15,255.0
2022-08-22,204.5
2022-08-29,610.9
2022-09-05,257.0
2022-09-12,257.0
2022-09-19,802.0
2022-09-26,614.0
2022-10-03,70.0
2022-10-10,328.75
2022-10-17,577.5
2022-10-24,234.5
2022-10-31,80.0
2022-11-07,753.5
2022-11-14,134.5
2022-11-21,236.5
2022-11-28,961.0
2022-12-05,222.0
2022-12-12,552.0
2022-12-19,1472.5
2022-12-26,1343.4
2023-01-02,1295.4
2023-01-09,373.0
2023-01-16,1129.3899999999999
2023-01-23,789.0
2023-01-30,485.5
2023-02-06,984.22
2023-02-13,619.0
2023-02-20,163.5
2023-02-27,1386.0
2023-03-06,552.46
2023-03-13,1702.09
2023-03-20,447.22
2023-03-27,1238.0
2023-04-03,168.36
2023-04-10,380.43
2023-04-17,592.5
2023-04-24,239.07999999999998
2023-05-01,1043.8
2023-05-08,687.9
2023-05-15,55.0
2023-05-22,1213.48
2023-05-29,27.0
2023-06-05,213.0
2023-06-12,69.0
2023-06-19,425.77500000000003
2023-06-26,562.55
2023-07-03,1280.29
2023-07-10,1718.03
2023-07-17,691.0
2023-07-24,740.5699999999999
2023-07-31,1695.0
2023-08-07,691.85
2023-08-14,492.0
2023-08-21,521.0
2023-08-28,2205.0
2023-09-04,2403.35
2023-09-11,482.0
2023-09-18,385.0
2023-09-25,530.5
2023-10-02,491.0
2023-10-09,1001.0
2023-10-16,2241.17
2023-10-23,2417.785
2023-10-30,1736.8
2023-11-06,335.0
2023-11-13,655.0
2023-11-20,1125.0
2023-11-27,1042.19
2023-12-04,2524.36
2023-12-11,916.0
2023-12-18,338.75
2023-12-25,985.0
2024-01-01,65.0
2024-01-08,963.68
2024-01-15,115.0
2024-01-22,342.0
2024-01-29,891.47
2024-02-05,1221.04
2024-02-12,2375.69
2024-02-19,1693.195
2024-02-26,330.0
2024-03-04,513.0
2024-03-11,244.0
2024-03-18,803.0
2024-03-25,1362.0
2024-04-01,176.0
2024-04-08,477.8
2024-04-15,303.4
2024-04-22,129.0
2024-04-29,1472.0
2024-05-06,1001.94
2024-05-13,1001.94
2024-05-20,1001.94
2024-05-27,1001.94
2024-06-03,531.88
2024-06-10,305.44
2024-06-17,305.44
2024-06-24,305.44
2024-07-01,305.44
2024-07-08,305.44
2024-07-15,305.44
2024-07-22,305.44
2024-07-29,305.44
2024-08-05,305.44
2024-08-12,305.44
2024-08-19,305.44
2024-08-26,305.44
2024-09-02,305.44
2024-09-09,305.44
2024-09-16,305.44
2024-09-23,305.44
2024-09-30,305.44
2024-10-07,305.44
2024-10-14,305.44
2024-10-21,305.44
2024-10-28,305.44
2024-11-04,305.44
2024-11-11,305.44
2024-11-18,305.44
2024-11-25,305.44
2024-12-02,305.44
2024-12-09,305.44
2024-12-16,305.44
2024-12-23,305.44
2024-12-30,305.44
2025-01-06,305.44
2025-01-13,305.44
2025-01-20,305.44
2025-01-27,305.44
2025-02-03,305.44
2025-02-10,305.44
2025-02-17,305.44
2025-02-24,305.44
2025-03-03,305.44
2025-03-10,305.44
