semana_inicio,importe_nominal,available_at,es_sintetico,estado_dato
2022-09-12,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-09-19,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-09-26,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-10-03,260.0,2022-10-10,False,observado
2022-10-10,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-10-17,7371.0,2022-10-24,False,observado
2022-10-24,580.0,2022-10-31,False,observado
2022-10-31,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-11-07,3200.0,2022-11-14,False,observado
2022-11-14,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2022-11-21,1440.0,2022-11-28,False,observado
2022-11-28,5300.0,2022-12-05,False,observado
2022-12-05,400.0,2022-12-12,False,observado
2022-12-12,4330.0,2022-12-19,False,observado
2022-12-19,2560.0,2022-12-26,False,observado
2022-12-26,2020.0,2023-01-02,False,observado
2023-01-02,590.0,2023-01-09,False,observado
2023-01-09,1450.0,2023-01-16,False,observado
2023-01-16,2310.0,2023-01-23,False,observado
2023-01-23,4841.0,2023-01-30,False,observado
2023-01-30,400.0,2023-02-06,False,observado
2023-02-06,2040.0,2023-02-13,False,observado
2023-02-13,2680.0,2023-02-20,False,observado
2023-02-20,2023.8285714285714,2026-09-22,False,estimado_promedio_simple
2023-02-27,3930.0,2023-03-06,False,observado
2023-03-06,1220.0,2023-03-13,False,observado
2023-03-13,2220.0,2023-03-20,False,observado
2023-03-20,4900.0,2023-03-27,False,observado
2023-03-27,230.0,2023-04-03,False,observado
2023-04-03,2580.0,2023-04-10,False,observado
2023-04-10,250.0,2023-04-17,False,observado
2023-04-17,730.0,2023-04-24,False,observado
2023-04-24,4110.0,2023-05-01,False,observado
2023-05-01,1495.0,2023-05-08,False,observado
2023-05-08,720.0,2023-05-15,False,observado
2023-05-15,990.0,2023-05-22,False,observado
2023-05-22,5330.0,2023-05-29,False,observado
2023-05-29,730.0,2023-06-05,False,observado
2023-06-05,440.0,2023-06-12,False,observado
2023-06-12,690.0,2023-06-19,False,observado
2023-06-19,230.0,2023-06-26,False,observado
2023-06-26,2240.0,2023-07-03,False,observado
2023-07-03,1760.0,2023-07-10,False,observado
2023-07-10,930.0,2023-07-17,False,observado
2023-07-17,1080.0,2023-07-24,False,observado
2023-07-24,3515.0,2023-07-31,False,observado
2023-07-31,7070.0,2023-08-07,False,observado
2023-08-07,1920.0,2023-08-14,False,observado
2023-08-14,2140.0,2023-08-21,False,observado
2023-08-21,1910.0,2023-08-28,False,observado
2023-08-28,7530.0,2023-09-04,False,observado
2023-09-04,3280.0,2023-09-11,False,observado
2023-09-11,590.0,2023-09-18,False,observado
2023-09-18,3660.0,2023-09-25,False,observado
2023-09-25,400.0,2023-10-02,False,observado
2023-10-02,1894.0,2023-10-09,False,observado
2023-10-09,3260.0,2023-10-16,False,observado
2023-10-16,1515.0,2023-10-23,False,observado
2023-10-23,490.0,2023-10-30,False,observado
2023-10-30,7620.0,2023-11-06,False,observado
2023-11-06,290.0,2023-11-13,False,observado
2023-11-13,3800.0,2023-11-20,False,observado
2023-11-20,4670.0,2023-11-27,False,observado
2023-11-27,2440.0,2023-12-04,False,observado
2023-12-04,5755.0,2023-12-11,False,observado
