semana_inicio,compras_importe_semanal,tendencia_stl,estacional_stl,residuo_stl
2023-02-20,84.53937007874015,480.69875967477816,-401.8627107205789,5.703321124540878
2023-02-27,673.0103032741345,489.17162282363034,178.34918778925285,5.48949266125129
2023-03-06,334.8597372262774,497.4975522100614,-167.8645379963473,5.226723012563298
2023-03-13,1002.594832116788,505.82217633385267,491.8182802110933,4.954375571842036
2023-03-20,504.4465401459854,514.1461305705055,-14.373512697029597,4.673922272509458
2023-03-27,759.2730861313869,522.4696257012381,232.41646092484288,4.38699950530588
2023-04-03,106.134144,530.792629322027,-428.7538866034224,4.095401281395425
2023-04-10,0.0,539.114985145496,-542.9160345122804,3.801049366784355
2023-04-17,373.512,547.43648457882,-177.43042900994095,3.5059444311209518
2023-04-24,286.371808,555.7569067023632,-272.59720050473373,3.212101802370512
2023-05-01,891.0876712328767,564.0760389399443,324.0901572726566,2.921475020275807
2023-05-08,0.0,572.3936865619954,-575.0295570742862,2.6358705122908077
2023-05-15,37.10616438356165,580.7096760364947,-545.9603690527279,2.356857399794876
2023-05-22,1162.758767123288,589.0238551784943,571.6492343366697,2.0856776081240014
2023-05-29,58.69520547945206,597.3360917742057,-540.4640493338583,1.8231630391046565
2023-06-05,165.8537549407115,605.6462715993088,-441.36218519470793,1.5696685361107257
2023-06-12,53.72727272727273,613.9542963149426,-561.5520553079838,1.325031720313973
2023-06-19,0.0,622.260081479321,-623.3486549900017,1.0885735106807033
2023-06-26,634.0281474085504,630.5635547783608,2.605436352556086,0.859156277633474
2023-07-03,0.0,638.8646545074278,-639.4999746533762,0.6353201459484126
2023-07-10,1462.513194154488,647.1633283004783,814.934356576749,0.41550927726075315
2023-07-17,568.3799582463464,655.4595320864206,-87.277910605546,0.19833676547182222
2023-07-24,609.1536116910229,663.7532292461693,-54.5824574579761,-0.0171600971702901
2023-07-31,1494.48275862069,672.0443899426824,822.6696885634333,-0.23131988542570525
2023-08-07,604.4588362068965,680.3329905971738,-75.43043088572418,-0.44372350455307696
2023-08-14,417.7758620689655,688.6190134866689,-270.1899956261667,-0.653155791536733
2023-08-21,442.4008620689655,696.9024464399964,-253.65832809096656,-0.8432562800643382
2023-08-28,2250.320466873305,705.1832826061341,1546.150556625308,-1.0133723581368486
2023-09-04,2127.90988764045,713.4615202565572,1415.617423166453,-1.169055782560008
2023-09-11,461.7325842696629,721.7371626062885,-258.6885615470004,-1.3160167896252233
2023-09-18,530.2620224719101,730.0102176542059,-198.29033625627451,-1.4578589260213448
2023-09-25,567.9818536688294,738.2806980454081,-168.70220858768351,-1.596635788895128
2023-10-02,454.1173708920188,746.5486209558351,-290.6977183702642,-1.733531693552095
2023-10-09,925.8075117370892,754.8140079972161,172.86276859095614,-1.8692648510830168
2023-10-16,2072.819201877934,763.0768851396839,1311.7466081379496,-2.0042913996993548
2023-10-23,0.0,771.3372826494651,-769.198376866686,-2.1389057827791476
2023-10-30,2385.585732916015,779.5952350394606,1608.2637899158592,-2.27329203930492
2023-11-06,496.786574074074,787.8507810310538,-288.65665465758576,-2.4075522993940695
2023-11-13,614.2569444444443,796.103963525952,-179.3052946767634,-2.5417244047442864
2023-11-20,1026.041666666667,804.354829587305,224.36263103097093,-2.6757939516089664
2023-11-27,1036.623136027659,812.6034304297063,226.8294087209646,-2.8097031230119
2023-12-04,2378.677768240343,820.8498214180871,1560.7713042238868,-2.9433574016308057
2023-12-11,1156.127896995708,829.094062075646,330.11046562126046,-3.0766307011984964
2023-12-18,286.4109442060086,837.3362161013185,-547.7159026854595,-3.209369209850479
2023-12-25,832.8111587982831,845.5763513974134,-9.42379847428485,-3.341394124845465
2024-01-01,52.47950819672131,853.8145401082725,-797.8625285132662,-3.472503398284971
2024-01-08,778.0531147540983,862.0508573358545,-80.39526905418106,-3.602473527575171
2024-01-15,92.8483606557377,870.2853759540418,-773.7059500597626,-3.7310652385415324
2024-01-22,453.6651639344262,878.5181654649466,-420.9949667566653,-3.858034773855138
2024-01-29,0.0,886.7492921651082,-882.7661402329799,-3.983151932128294
2024-02-05,1093.385818181818,894.9788193047328,202.5132217045004,-4.1062228274153085
2024-02-12,2678.653772727273,903.2068072400082,1779.6740839523413,-4.227118465076501
