semana_inicio,compras_importe_semanal,semana_anio,mes,media_movil_4s,mediana_movil_13s,media_movil_26s,es_bloque_evaluacion
2023-12-11,1156.127896995708,50,12,1399.3676169825942,925.8075117370892,950.7016865100783,False
2023-12-18,286.4109442060086,51,12,1214.4599363674297,925.8075117370892,961.7174920564632,False
2023-12-25,832.8111587982831,52,12,1163.5069420600857,925.8075117370892,969.36299249453,False
2024-01-01,52.47950819672131,1,1,581.9573770491801,925.8075117370892,971.3814351174807,False
2024-01-08,778.0531147540983,2,1,487.4386814887777,832.8111587982831,945.0560474482348,False
2024-01-15,92.8483606557377,3,1,439.04803560120996,778.0531147540983,926.7663706178269,False
2024-01-22,453.6651639344262,4,1,344.26153688524573,778.0531147540983,920.7860457041116,False
2024-01-29,0.0,5,1,331.1416598360654,614.2569444444443,863.3059396033158,False
2024-02-05,1093.385818181818,6,2,409.9748356929953,778.0531147540983,882.1108235254283,False
2024-02-12,2678.653772727273,7,2,1056.4261887108792,832.8111587982831,969.0676662430554,False
2024-02-19,0.0,8,2,943.0098977272726,778.0531147540983,952.0522484711722,True
2024-02-26,294.1628959276018,9,2,1016.550621709173,453.6651639344262,876.8154188194144,True
2024-03-04,457.2895927601811,10,3,857.5265653537639,453.6651639344262,812.56079209325,True
2024-03-11,217.5022624434389,11,3,242.23868778280536,294.1628959276018,803.167318176857,True
2024-03-18,0.0,12,3,242.23868778280536,294.1628959276018,782.7726250048605,True
2024-03-25,1214.090497737557,13,3,472.22058823529414,294.1628959276018,807.6229574690421,True
2024-04-01,149.1268817204301,14,4,395.17991047535634,294.1628959276018,795.8925540393658,True
2024-04-08,404.8455913978494,15,4,442.01574271395896,294.1628959276018,775.855557103241,True
2024-04-15,0.0,16,4,442.01574271395896,294.1628959276018,696.1317416463974,True
2024-04-22,109.3032258064516,17,4,165.81892473118265,217.5022624434389,700.3357118697224,True
2024-04-29,1236.605543710021,18,4,437.6885902285804,294.1628959276018,656.1441661310305,True
2024-05-06,0.0,19,5,336.47719237911804,217.5022624434389,637.0369902051045,True
2024-05-13,0.0,20,5,336.47719237911804,149.1268817204301,613.4117231110874,True
2024-05-20,0.0,21,5,309.15138592750515,149.1268817204301,573.9485820854464,True
2024-05-27,0.0,22,5,0.0,109.3032258064516,534.0784614689981,True
2024-06-03,420.8046586345381,23,6,105.20116465863441,109.3032258064516,458.7756495610824,True
