descripcion_normalizada,insumo_id,aprobado,decision,evidencia
BASE FANTASIA PASTELOSO 36 CM,,False,revisar,
BASE PLATEADA PASTELOSO 18 CM,,False,revisar,
BASE PLATEADA PASTELOSO 30 CM,,False,revisar,
BASE PLATEADA PASTELOSO 30CM,,False,revisar,
BASE PLATEADA PASTELOSO 35X47CM,,False,revisar,
BASES 28 CM,,False,revisar,
BASES PARA PASTEL 28,,False,revisar,
BASES PARA PASTEL 30,,False,revisar,
BISAGRA 12 CUPCAKES,,False,revisar,
BOLAS DE POM POM,,False,revisar,
BOLILLO,,False,revisar,
BOLLO PAPA,,False,revisar,
BOLSA,,False,revisar,
BOLSA 10X15,,False,revisar,
BOLSA DE CELOFAN,,False,revisar,
BOLSA G,,False,revisar,
BOLSA JUMBO,,False,revisar,
BONDI MEGA WEBO LATE DISTROLLER,,False,revisar,
BOTELLAS JACK DANIELS,,False,revisar,
BOWL MEZCL,,False,revisar,
BRILLO ESTRELLA,,False,revisar,
BROCHETA BAMBCO 30 CM,,False,revisar,
CACAHUATE ESPANOL,,False,revisar,
CACAO BREMEN,,False,revisar,
CAJA 12 CUPCAKES,,False,revisar,
CAJA 17X11X3,,False,revisar,
CAJA 6 CUPCAKES,,False,revisar,
CAJA ACETATO,,False,revisar,
CAJA ACETATO 17X11X13,,False,revisar,
CAJA CON 12 CAVIDADES,,False,revisar,
CAJA CUPCAKE 2 CAV,,False,revisar,
CAJA CUPCAKE 6 CAV,,False,revisar,
CAJA CUPCAKE BLANCA 6 CAV,,False,revisar,
CAJA CUPCAKES 12,,False,revisar,
CAJA CUPCAKES 6,,False,revisar,
CAJA DE ACETATO 17X11X3,,False,revisar,
CAJA DE ACETATO CORAZON CHICO,,False,revisar,
CAJA DE CARTON PARA CUPCAKE 6 PIEZAS,,False,revisar,
CAJA DE CUPCAKE,,False,revisar,
CAJA IC,,False,revisar,
CAJA PARA CUPCAKE,,False,revisar,
CAJA PARA CUPCAKE 12 PIEZAS,,False,revisar,
CAJA PARA CUPCAKE 6 PZ,,False,revisar,
CAJA PARA CUPCAKE DE 12 PZ,,False,revisar,
CAJA PARA CUPCAKES,,False,revisar,
CAJAS,,False,revisar,
CAJAS CUPCAKES 12 C,,False,revisar,
CAJAS CUPCAKES 6 PIEZAS,,False,revisar,
CAJITA MINI,,False,revisar,
CAKETOPPER,,False,revisar,
CAKETOPPER HAPPY BIRTHDAY TX,,False,revisar,
CAKETOPPER HARRY POTTER,,False,revisar,
CALAHUA CO,,False,revisar,
CALAHUA CRE,,False,revisar,
CANISTER,,False,revisar,
CAPACILLO 72,,False,revisar,
CAPACILLO BLANCO MINI CORAZONES,,False,revisar,
CAPACILLO DORADO,,False,revisar,
CAPACILLO FLOREADO ALEGRIA,,False,revisar,
CAPACILLO METALICO VENCORT,,False,revisar,
CAPACILLO NAVIDAD,,False,revisar,
CAPACILLO NO. 4 DECORADO 50 PZ,,False,revisar,
CAPACILLO NO. 69 DECORADO 40 PZ,,False,revisar,
CAPACILLO NO. 72 DECORADO 25 PZ,,False,revisar,
CAPACILLO PARTY COLOR ALEGRIA,,False,revisar,
CAPACILLO VERDE PUNTOS ALEGRIA,,False,revisar,
CAPACILLOS,,False,revisar,
CAPACILLOS #4 TUBO,,False,revisar,
CAPACILLOS #72,,False,revisar,
CAPACILLOS #73,,False,revisar,
CAPACILLOS A GRANEL,,False,revisar,
CAPACILLOS BLANCO HOLLIDAYS,,False,revisar,
