Estado,Mes,Valor,fecha,archivo
Chihuahua,Jul,26.5,01/07/2024,2024.pdf
Ciudad de México,Jul,19.2,01/07/2024,2024.pdf
Durango,Jul,22.3,01/07/2024,2024.pdf
Guanajuato,Jul,20.9,01/07/2024,2024.pdf
Guerrero,Jul,26.7,01/07/2024,2024.pdf
Hidalgo,Jul,21.3,01/07/2024,2024.pdf
Jalisco,Jul,23.6,01/07/2024,2024.pdf
Estado de México,Jul,16.8,01/07/2024,2024.pdf
Michoacán,Jul,21.8,01/07/2024,2024.pdf
Morelos,Jul,23.2,01/07/2024,2024.pdf
Nayarit,Jul,28.3,01/07/2024,2024.pdf
Nuevo León,Jul,26.8,01/07/2024,2024.pdf
Oaxaca,Jul,25,01/07/2024,2024.pdf
Puebla,Jul,20,01/07/2024,2024.pdf
Querétaro,Jul,22,01/07/2024,2024.pdf
Quintana Roo,Jul,29.5,01/07/2024,2024.pdf
San Luis Potosí,Jul,25.6,01/07/2024,2024.pdf
Sinaloa,Jul,31.6,01/07/2024,2024.pdf
Sonora,Jul,32,01/07/2024,2024.pdf
Tabasco,Jul,29.2,01/07/2024,2024.pdf
Tamaulipas,Jul,28.9,01/07/2024,2024.pdf
Tlaxcala,Jul,17.2,01/07/2024,2024.pdf
Veracruz,Jul,24.9,01/07/2024,2024.pdf
Yucatán,Jul,29.4,01/07/2024,2024.pdf
Zacatecas,Jul,21,01/07/2024,2024.pdf
Nacional,Jul,26.5,01/07/2024,2024.pdf
Aguascalientes,Ago,20.6,01/08/2024,2024.pdf
Baja California,Ago,27.1,01/08/2024,2024.pdf
Baja California Sur,Ago,29.7,01/08/2024,2024.pdf
Campeche,Ago,29.3,01/08/2024,2024.pdf
Coahuila,Ago,30.2,01/08/2024,2024.pdf
Colima,Ago,28.8,01/08/2024,2024.pdf
Chiapas,Ago,26.6,01/08/2024,2024.pdf
Chihuahua,Ago,26.6,01/08/2024,2024.pdf
Ciudad de México,Ago,19.4,01/08/2024,2024.pdf
Durango,Ago,23.6,01/08/2024,2024.pdf
Guanajuato,Ago,21,01/08/2024,2024.pdf
Guerrero,Ago,26.2,01/08/2024,2024.pdf
Hidalgo,Ago,21.3,01/08/2024,2024.pdf
Jalisco,Ago,23.6,01/08/2024,2024.pdf
Estado de México,Ago,16.7,01/08/2024,2024.pdf
Michoacán,Ago,21.7,01/08/2024,2024.pdf
Morelos,Ago,23,01/08/2024,2024.pdf
Nayarit,Ago,28.1,01/08/2024,2024.pdf
Nuevo León,Ago,28.3,01/08/2024,2024.pdf
Oaxaca,Ago,25.2,01/08/2024,2024.pdf
Puebla,Ago,19.9,01/08/2024,2024.pdf
Querétaro,Ago,22.2,01/08/2024,2024.pdf
Quintana Roo,Ago,29.6,01/08/2024,2024.pdf
San Luis Potosí,Ago,26.3,01/08/2024,2024.pdf
Sinaloa,Ago,30.7,01/08/2024,2024.pdf
Sonora,Ago,31.5,01/08/2024,2024.pdf
Tabasco,Ago,29.2,01/08/2024,2024.pdf
Tamaulipas,Ago,30.1,01/08/2024,2024.pdf
Tlaxcala,Ago,16.9,01/08/2024,2024.pdf
Veracruz,Ago,25.2,01/08/2024,2024.pdf
Yucatán,Ago,29.4,01/08/2024,2024.pdf
Zacatecas,Ago,21.5,01/08/2024,2024.pdf
Nacional,Ago,26.8,01/08/2024,2024.pdf
Aguascalientes,Sep,20.1,01/09/2024,2024.pdf
Baja California,Sep,25.1,01/09/2024,2024.pdf
Baja California Sur,Sep,28.1,01/09/2024,2024.pdf
Campeche,Sep,29.7,01/09/2024,2024.pdf
Coahuila,Sep,26.3,01/09/2024,2024.pdf
Colima,Sep,28.5,01/09/2024,2024.pdf
Chiapas,Sep,26.5,01/09/2024,2024.pdf
Chihuahua,Sep,23.6,01/09/2024,2024.pdf
Ciudad de México,Sep,19.3,01/09/2024,2024.pdf
Durango,Sep,22.1,01/09/2024,2024.pdf
Guanajuato,Sep,20.7,01/09/2024,2024.pdf
Guerrero,Sep,26.3,01/09/2024,2024.pdf
Hidalgo,Sep,21.5,01/09/2024,2024.pdf
Jalisco,Sep,23.9,01/09/2024,2024.pdf
Estado de México,Sep,16.8,01/09/2024,2024.pdf
Michoacán,Sep,21.6,01/09/2024,2024.pdf
Morelos,Sep,22.8,01/09/2024,2024.pdf
Nayarit,Sep,28.5,01/09/2024,2024.pdf
Nuevo León,Sep,26.4,01/09/2024,2024.pdf
Oaxaca,Sep,24.7,01/09/2024,2024.pdf
Puebla,Sep,19.6,01/09/2024,2024.pdf
Querétaro,Sep,22.2,01/09/2024,2024.pdf
Quintana Roo,Sep,29.7,01/09/2024,2024.pdf
San Luis Potosí,Sep,25.7,01/09/2024,2024.pdf
Sinaloa,Sep,30.7,01/09/2024,2024.pdf
Sonora,Sep,30.2,01/09/2024,2024.pdf
Tabasco,Sep,29.6,01/09/2024,2024.pdf
Tamaulipas,Sep,28.7,01/09/2024,2024.pdf
Tlaxcala,Sep,16.6,01/09/2024,2024.pdf
Veracruz,Sep,25.9,01/09/2024,2024.pdf
Yucatán,Sep,29.3,01/09/2024,2024.pdf
Zacatecas,Sep,20.5,01/09/2024,2024.pdf
Nacional,Sep,25.7,01/09/2024,2024.pdf
Aguascalientes,Oct,17.7,01/10/2024,2024.pdf
Baja California,Oct,22,01/10/2024,2024.pdf
Baja California Sur,Oct,27.5,01/10/2024,2024.pdf
Campeche,Oct,27.5,01/10/2024,2024.pdf
Coahuila,Oct,24,01/10/2024,2024.pdf
Colima,Oct,28.3,01/10/2024,2024.pdf
Chiapas,Oct,25.3,01/10/2024,2024.pdf
Chihuahua,Oct,21,01/10/2024,2024.pdf
Ciudad de México,Oct,16.9,01/10/2024,2024.pdf
Durango,Oct,19.7,01/10/2024,2024.pdf
Guanajuato,Oct,18.4,01/10/2024,2024.pdf
Guerrero,Oct,25.4,01/10/2024,2024.pdf
Hidalgo,Oct,18.3,01/10/2024,2024.pdf
Jalisco,Oct,22,01/10/2024,2024.pdf
Estado de México,Oct,14.5,01/10/2024,2024.pdf
Michoacán,Oct,20,01/10/2024,2024.pdf
Morelos,Oct,21.3,01/10/2024,2024.pdf
Nayarit,Oct,28.3,01/10/2024,2024.pdf
Nuevo León,Oct,22.9,01/10/2024,2024.pdf
Oaxaca,Oct,23.2,01/10/2024,2024.pdf
Puebla,Oct,17.6,01/10/2024,2024.pdf
Querétaro,Oct,18.9,01/10/2024,2024.pdf
Quintana Roo,Oct,27.9,01/10/2024,2024.pdf
San Luis Potosí,Oct,23,01/10/2024,2024.pdf
Sinaloa,Oct,30.3,01/10/2024,2024.pdf
Sonora,Oct,27.4,01/10/2024,2024.pdf
Tabasco,Oct,27,01/10/2024,2024.pdf
Tamaulipas,Oct,25.7,01/10/2024,2024.pdf
Tlaxcala,Oct,14.5,01/10/2024,2024.pdf
Veracruz,Oct,23.3,01/10/2024,2024.pdf
Yucatán,Oct,27,01/10/2024,2024.pdf
Zacatecas,Oct,17.9,01/10/2024,2024.pdf
Nacional,Oct,23.5,01/10/2024,2024.pdf
Aguascalientes,Nov,17.6,01/11/2024,2024.pdf
Baja California,Nov,14.9,01/11/2024,2024.pdf
Baja California Sur,Nov,21.3,01/11/2024,2024.pdf
Campeche,Nov,26.5,01/11/2024,2024.pdf
Coahuila,Nov,20.5,01/11/2024,2024.pdf
Colima,Nov,27.5,01/11/2024,2024.pdf
Chiapas,Nov,24.6,01/11/2024,2024.pdf
Chihuahua,Nov,14.7,01/11/2024,2024.pdf
Ciudad de México,Nov,17.4,01/11/2024,2024.pdf
Durango,Nov,17.4,01/11/2024,2024.pdf
Guanajuato,Nov,18.7,01/11/2024,2024.pdf
Guerrero,Nov,25.5,01/11/2024,2024.pdf
Hidalgo,Nov,18.5,01/11/2024,2024.pdf
Jalisco,Nov,21.3,01/11/2024,2024.pdf
Estado de México,Nov,13.9,01/11/2024,2024.pdf
Michoacán,Nov,19.7,01/11/2024,2024.pdf
Morelos,Nov,20.8,01/11/2024,2024.pdf
Nayarit,Nov,25.4,01/11/2024,2024.pdf
Nuevo León,Nov,21.7,01/11/2024,2024.pdf
Oaxaca,Nov,22.7,01/11/2024,2024.pdf
Puebla,Nov,17.4,01/11/2024,2024.pdf
Querétaro,Nov,19.6,01/11/2024,2024.pdf
Quintana Roo,Nov,26.7,01/11/2024,2024.pdf
San Luis Potosí,Nov,22.9,01/11/2024,2024.pdf
Sinaloa,Nov,23.9,01/11/2024,2024.pdf
Sonora,Nov,18,01/11/2024,2024.pdf
Tabasco,Nov,26.6,01/11/2024,2024.pdf
Tamaulipas,Nov,24.4,01/11/2024,2024.pdf
Tlaxcala,Nov,14,01/11/2024,2024.pdf
Veracruz,Nov,22.3,01/11/2024,2024.pdf
Yucatán,Nov,25.8,01/11/2024,2024.pdf
Zacatecas,Nov,17.8,01/11/2024,2024.pdf
Nacional,Nov,20.3,01/11/2024,2024.pdf
Aguascalientes,Dic,14.7,01/12/2024,2024.pdf
Baja California,Dic,14,01/12/2024,2024.pdf
Baja California Sur,Dic,19.6,01/12/2024,2024.pdf
Campeche,Dic,24.3,01/12/2024,2024.pdf
Coahuila,Dic,16.8,01/12/2024,2024.pdf
Colima,Dic,26.5,01/12/2024,2024.pdf
Chiapas,Dic,22.8,01/12/2024,2024.pdf
Chihuahua,Dic,12.1,01/12/2024,2024.pdf
Ciudad de México,Dic,15.5,01/12/2024,2024.pdf
Durango,Dic,14.3,01/12/2024,2024.pdf
Guanajuato,Dic,16,01/12/2024,2024.pdf
Guerrero,Dic,23.8,01/12/2024,2024.pdf
Hidalgo,Dic,15.7,01/12/2024,2024.pdf
Jalisco,Dic,19.3,01/12/2024,2024.pdf
Estado de México,Dic,13.1,01/12/2024,2024.pdf
Michoacán,Dic,17.7,01/12/2024,2024.pdf
Morelos,Dic,19.2,01/12/2024,2024.pdf
Nayarit,Dic,22.9,01/12/2024,2024.pdf
Nuevo León,Dic,18.2,01/12/2024,2024.pdf
Oaxaca,Dic,20.7,01/12/2024,2024.pdf
Puebla,Dic,15.5,01/12/2024,2024.pdf
Querétaro,Dic,16.7,01/12/2024,2024.pdf
Quintana Roo,Dic,24.6,01/12/2024,2024.pdf
San Luis Potosí,Dic,19.8,01/12/2024,2024.pdf
Sinaloa,Dic,21.7,01/12/2024,2024.pdf
Sonora,Dic,16.7,01/12/2024,2024.pdf
Tabasco,Dic,24.3,01/12/2024,2024.pdf
Tamaulipas,Dic,21.1,01/12/2024,2024.pdf
Tlaxcala,Dic,12.7,01/12/2024,2024.pdf
Veracruz,Dic,20.3,01/12/2024,2024.pdf
Yucatán,Dic,23.4,01/12/2024,2024.pdf
Zacatecas,Dic,15.1,01/12/2024,2024.pdf
Nacional,Dic,18,01/12/2024,2024.pdf
Aguascalientes,Ene,14,01/01/2025,2025.pdf
Baja California,Ene,12.1,01/01/2025,2025.pdf
Baja California Sur,Ene,17,01/01/2025,2025.pdf
Campeche,Ene,24.6,01/01/2025,2025.pdf
Coahuila,Ene,11.9,01/01/2025,2025.pdf
Colima,Ene,25.3,01/01/2025,2025.pdf
Chiapas,Ene,23.5,01/01/2025,2025.pdf
Chihuahua,Ene,8.3,01/01/2025,2025.pdf
Ciudad de México,Ene,15.9,01/01/2025,2025.pdf
Durango,Ene,12.2,01/01/2025,2025.pdf
Guanajuato,Ene,15.8,01/01/2025,2025.pdf
Guerrero,Ene,24,01/01/2025,2025.pdf
Hidalgo,Ene,15.5,01/01/2025,2025.pdf
Jalisco,Ene,18.2,01/01/2025,2025.pdf
Estado de México,Ene,13.1,01/01/2025,2025.pdf
Michoacán,Ene,17.5,01/01/2025,2025.pdf
Morelos,Ene,19.8,01/01/2025,2025.pdf
Nayarit,Ene,20.1,01/01/2025,2025.pdf
Nuevo León,Ene,13.5,01/01/2025,2025.pdf
Oaxaca,Ene,21.3,01/01/2025,2025.pdf
Puebla,Ene,15.3,01/01/2025,2025.pdf
Querétaro,Ene,16.4,01/01/2025,2025.pdf
Quintana Roo,Ene,24.6,01/01/2025,2025.pdf
San Luis Potosí,Ene,17,01/01/2025,2025.pdf
Sinaloa,Ene,19.3,01/01/2025,2025.pdf
Sonora,Ene,13.6,01/01/2025,2025.pdf
Tabasco,Ene,24.5,01/01/2025,2025.pdf
Tamaulipas,Ene,17,01/01/2025,2025.pdf
Tlaxcala,Ene,12.7,01/01/2025,2025.pdf
Veracruz,Ene,18.6,01/01/2025,2025.pdf
Yucatán,Ene,23.8,01/01/2025,2025.pdf
Zacatecas,Ene,13.3,01/01/2025,2025.pdf
Nacional,Ene,15.9,01/01/2025,2025.pdf
Aguascalientes,Feb,16.8,01/02/2025,2025.pdf
Baja California,Feb,15,01/02/2025,2025.pdf
Baja California Sur,Feb,19,01/02/2025,2025.pdf
Campeche,Feb,26.4,01/02/2025,2025.pdf
Coahuila,Feb,17.6,01/02/2025,2025.pdf
Colima,Feb,25.9,01/02/2025,2025.pdf
Chiapas,Feb,25.1,01/02/2025,2025.pdf
Chihuahua,Feb,14.6,01/02/2025,2025.pdf
Ciudad de México,Feb,17.5,01/02/2025,2025.pdf
Durango,Feb,15.8,01/02/2025,2025.pdf
Guanajuato,Feb,18.1,01/02/2025,2025.pdf
Guerrero,Feb,25.6,01/02/2025,2025.pdf
Hidalgo,Feb,17.8,01/02/2025,2025.pdf
Jalisco,Feb,20.2,01/02/2025,2025.pdf
Estado de México,Feb,14.5,01/02/2025,2025.pdf
Michoacán,Feb,19.3,01/02/2025,2025.pdf
Morelos,Feb,22.6,01/02/2025,2025.pdf
Nayarit,Feb,22.5,01/02/2025,2025.pdf
Nuevo León,Feb,19,01/02/2025,2025.pdf
Oaxaca,Feb,23.7,01/02/2025,2025.pdf
Puebla,Feb,17.6,01/02/2025,2025.pdf
Querétaro,Feb,18.9,01/02/2025,2025.pdf
Quintana Roo,Feb,26,01/02/2025,2025.pdf
San Luis Potosí,Feb,20.7,01/02/2025,2025.pdf
Sinaloa,Feb,21.5,01/02/2025,2025.pdf
Sonora,Feb,17.8,01/02/2025,2025.pdf
Tabasco,Feb,25.9,01/02/2025,2025.pdf
Tamaulipas,Feb,20.8,01/02/2025,2025.pdf
Tlaxcala,Feb,14.4,01/02/2025,2025.pdf
Veracruz,Feb,20.9,01/02/2025,2025.pdf
Yucatán,Feb,25.9,01/02/2025,2025.pdf
Zacatecas,Feb,16,01/02/2025,2025.pdf
Nacional,Feb,19.3,01/02/2025,2025.pdf
Aguascalientes,Mar,17.8,01/03/2025,2025.pdf
Baja California,Mar,15,01/03/2025,2025.pdf
Baja California Sur,Mar,20,01/03/2025,2025.pdf
Campeche,Mar,27.7,01/03/2025,2025.pdf
Coahuila,Mar,21.8,01/03/2025,2025.pdf
Colima,Mar,25.2,01/03/2025,2025.pdf
Chiapas,Mar,26.2,01/03/2025,2025.pdf
Chihuahua,Mar,15.5,01/03/2025,2025.pdf
Ciudad de México,Mar,19.8,01/03/2025,2025.pdf
Durango,Mar,17.6,01/03/2025,2025.pdf
Guanajuato,Mar,19.6,01/03/2025,2025.pdf
Guerrero,Mar,26.2,01/03/2025,2025.pdf
Hidalgo,Mar,19.9,01/03/2025,2025.pdf
Jalisco,Mar,21,01/03/2025,2025.pdf
Estado de México,Mar,16.3,01/03/2025,2025.pdf
Michoacán,Mar,20.7,01/03/2025,2025.pdf
Morelos,Mar,24.6,01/03/2025,2025.pdf
Nayarit,Mar,22,01/03/2025,2025.pdf
Nuevo León,Mar,22.6,01/03/2025,2025.pdf
Oaxaca,Mar,24.8,01/03/2025,2025.pdf
Puebla,Mar,19.6,01/03/2025,2025.pdf
Querétaro,Mar,21,01/03/2025,2025.pdf
Quintana Roo,Mar,26.8,01/03/2025,2025.pdf
San Luis Potosí,Mar,23.5,01/03/2025,2025.pdf
Sinaloa,Mar,22,01/03/2025,2025.pdf
Sonora,Mar,18.2,01/03/2025,2025.pdf
Tabasco,Mar,27.7,01/03/2025,2025.pdf
Tamaulipas,Mar,24.5,01/03/2025,2025.pdf
Tlaxcala,Mar,16.2,01/03/2025,2025.pdf
Veracruz,Mar,23,01/03/2025,2025.pdf
Yucatán,Mar,26.9,01/03/2025,2025.pdf
Zacatecas,Mar,16.5,01/03/2025,2025.pdf
Nacional,Mar,20.8,01/03/2025,2025.pdf
Aguascalientes,Abr,19.3,01/04/2025,2025.pdf
Baja California,Abr,16.9,01/04/2025,2025.pdf
Baja California Sur,Abr,21.8,01/04/2025,2025.pdf
Campeche,Abr,28.7,01/04/2025,2025.pdf
Coahuila,Abr,24.8,01/04/2025,2025.pdf
Colima,Abr,25.5,01/04/2025,2025.pdf
Chiapas,Abr,26.3,01/04/2025,2025.pdf
Chihuahua,Abr,18.9,01/04/2025,2025.pdf
Ciudad de México,Abr,20.2,01/04/2025,2025.pdf
Durango,Abr,20.4,01/04/2025,2025.pdf
Guanajuato,Abr,21.1,01/04/2025,2025.pdf
Guerrero,Abr,26.7,01/04/2025,2025.pdf
Hidalgo,Abr,20.5,01/04/2025,2025.pdf
Jalisco,Abr,22.5,01/04/2025,2025.pdf
Estado de México,Abr,16.6,01/04/2025,2025.pdf
Michoacán,Abr,21.6,01/04/2025,2025.pdf
Morelos,Abr,25.5,01/04/2025,2025.pdf
Nayarit,Abr,24.2,01/04/2025,2025.pdf
Nuevo León,Abr,25,01/04/2025,2025.pdf
Oaxaca,Abr,25.5,01/04/2025,2025.pdf
Puebla,Abr,20.1,01/04/2025,2025.pdf
Querétaro,Abr,21.9,01/04/2025,2025.pdf
Quintana Roo,Abr,27.5,01/04/2025,2025.pdf
San Luis Potosí,Abr,25.1,01/04/2025,2025.pdf
Sinaloa,Abr,24.9,01/04/2025,2025.pdf
Sonora,Abr,21.2,01/04/2025,2025.pdf
Tabasco,Abr,28.5,01/04/2025,2025.pdf
Tamaulipas,Abr,26.5,01/04/2025,2025.pdf
Tlaxcala,Abr,16.3,01/04/2025,2025.pdf
Veracruz,Abr,23.7,01/04/2025,2025.pdf
Yucatán,Abr,27.6,01/04/2025,2025.pdf
Zacatecas,Abr,19,01/04/2025,2025.pdf
Nacional,Abr,22.8,01/04/2025,2025.pdf
Aguascalientes,May,22,01/05/2025,2025.pdf
Baja California,May,20.5,01/05/2025,2025.pdf
Baja California Sur,May,23.9,01/05/2025,2025.pdf
Campeche,May,31.6,01/05/2025,2025.pdf
Coahuila,May,27.6,01/05/2025,2025.pdf
Colima,May,28.2,01/05/2025,2025.pdf
Chiapas,May,28.1,01/05/2025,2025.pdf
Chihuahua,May,22.5,01/05/2025,2025.pdf
Ciudad de México,May,21.6,01/05/2025,2025.pdf
Durango,May,23.1,01/05/2025,2025.pdf
Guanajuato,May,23.5,01/05/2025,2025.pdf
Guerrero,May,28,01/05/2025,2025.pdf
Hidalgo,May,23.2,01/05/2025,2025.pdf
Jalisco,May,24.8,01/05/2025,2025.pdf
Estado de México,May,18.5,01/05/2025,2025.pdf
Michoacán,May,23.8,01/05/2025,2025.pdf
Morelos,May,26.3,01/05/2025,2025.pdf
Nayarit,May,26.6,01/05/2025,2025.pdf
Nuevo León,May,27.4,01/05/2025,2025.pdf
Oaxaca,May,26.9,01/05/2025,2025.pdf
Puebla,May,22.1,01/05/2025,2025.pdf
Querétaro,May,24.8,01/05/2025,2025.pdf
Quintana Roo,May,29.9,01/05/2025,2025.pdf
San Luis Potosí,May,28.1,01/05/2025,2025.pdf
Sinaloa,May,27.6,01/05/2025,2025.pdf
Sonora,May,24.4,01/05/2025,2025.pdf
Tabasco,May,31.3,01/05/2025,2025.pdf
Tamaulipas,May,29.5,01/05/2025,2025.pdf
Tlaxcala,May,18.4,01/05/2025,2025.pdf
Veracruz,May,26.7,01/05/2025,2025.pdf
Yucatán,May,30.8,01/05/2025,2025.pdf
Zacatecas,May,22.2,01/05/2025,2025.pdf
Nacional,May,25.5,01/05/2025,2025.pdf
Aguascalientes,Jun,20.8,01/06/2025,2025.pdf
Baja California,Jun,23.5,01/06/2025,2025.pdf
Baja California Sur,Jun,26.9,01/06/2025,2025.pdf
Campeche,Jun,30.1,01/06/2025,2025.pdf
Coahuila,Jun,29.3,01/06/2025,2025.pdf
Colima,Jun,28.3,01/06/2025,2025.pdf
Chiapas,Jun,26.3,01/06/2025,2025.pdf
Chihuahua,Jun,26.6,01/06/2025,2025.pdf
Ciudad de México,Jun,19.2,01/06/2025,2025.pdf
Durango,Jun,25,01/06/2025,2025.pdf
Guanajuato,Jun,21.1,01/06/2025,2025.pdf
Guerrero,Jun,25.6,01/06/2025,2025.pdf
Hidalgo,Jun,21.1,01/06/2025,2025.pdf
Jalisco,Jun,24.4,01/06/2025,2025.pdf
Estado de México,Jun,17,01/06/2025,2025.pdf
Michoacán,Jun,21.6,01/06/2025,2025.pdf
Morelos,Jun,23.3,01/06/2025,2025.pdf
Nayarit,Jun,28.6,01/06/2025,2025.pdf
Nuevo León,Jun,27.6,01/06/2025,2025.pdf
Oaxaca,Jun,24.7,01/06/2025,2025.pdf
Puebla,Jun,19.9,01/06/2025,2025.pdf
Querétaro,Jun,22.3,01/06/2025,2025.pdf
Quintana Roo,Jun,29.4,01/06/2025,2025.pdf
San Luis Potosí,Jun,25.6,01/06/2025,2025.pdf
Sinaloa,Jun,31.2,01/06/2025,2025.pdf
Sonora,Jun,30,01/06/2025,2025.pdf
Tabasco,Jun,29.7,01/06/2025,2025.pdf
Tamaulipas,Jun,29.2,01/06/2025,2025.pdf
Tlaxcala,Jun,16.2,01/06/2025,2025.pdf
Veracruz,Jun,24.7,01/06/2025,2025.pdf
Yucatán,Jun,29.7,01/06/2025,2025.pdf
Zacatecas,Jun,21.8,01/06/2025,2025.pdf
Nacional,Jun,26.4,01/06/2025,2025.pdf
Aguascalientes,Jul,19.4,01/07/2025,2025.pdf
Baja California,Jul,25.6,01/07/2025,2025.pdf
Baja California Sur,Jul,28.7,01/07/2025,2025.pdf
Campeche,Jul,29.8,01/07/2025,2025.pdf
Coahuila,Jul,28.1,01/07/2025,2025.pdf
Colima,Jul,28.5,01/07/2025,2025.pdf
Chiapas,Jul,26.3,01/07/2025,2025.pdf
Chihuahua,Jul,25,01/07/2025,2025.pdf
Ciudad de México,Jul,18.7,01/07/2025,2025.pdf
Durango,Jul,22.5,01/07/2025,2025.pdf
Guanajuato,Jul,20,01/07/2025,2025.pdf
Guerrero,Jul,25.9,01/07/2025,2025.pdf
Hidalgo,Jul,20.3,01/07/2025,2025.pdf
Jalisco,Jul,23.3,01/07/2025,2025.pdf
Estado de México,Jul,16.4,01/07/2025,2025.pdf
Michoacán,Jul,20.9,01/07/2025,2025.pdf
Morelos,Jul,22.4,01/07/2025,2025.pdf
Nayarit,Jul,28.2,01/07/2025,2025.pdf
Nuevo León,Jul,28.4,01/07/2025,2025.pdf
Oaxaca,Jul,25.2,01/07/2025,2025.pdf
Puebla,Jul,19.6,01/07/2025,2025.pdf
Querétaro,Jul,21.2,01/07/2025,2025.pdf
Quintana Roo,Jul,29.7,01/07/2025,2025.pdf
San Luis Potosí,Jul,25,01/07/2025,2025.pdf
Sinaloa,Jul,30.4,01/07/2025,2025.pdf
Sonora,Jul,31.1,01/07/2025,2025.pdf
Tabasco,Jul,29.8,01/07/2025,2025.pdf
Tamaulipas,Jul,28.9,01/07/2025,2025.pdf
Tlaxcala,Jul,16.3,01/07/2025,2025.pdf
Veracruz,Jul,25.5,01/07/2025,2025.pdf
Yucatán,Jul,29.3,01/07/2025,2025.pdf
Zacatecas,Jul,20,01/07/2025,2025.pdf
Nacional,Jul,26.1,01/07/2025,2025.pdf
Aguascalientes,Ago,20.1,01/08/2025,2025.pdf
Baja California,Ago,26.7,01/08/2025,2025.pdf
Baja California Sur,Ago,29.8,01/08/2025,2025.pdf
Campeche,Ago,29.2,01/08/2025,2025.pdf
Coahuila,Ago,29.6,01/08/2025,2025.pdf
Colima,Ago,28.6,01/08/2025,2025.pdf
Chiapas,Ago,26.4,01/08/2025,2025.pdf
Chihuahua,Ago,25.3,01/08/2025,2025.pdf
Ciudad de México,Ago,19,01/08/2025,2025.pdf
Durango,Ago,23.1,01/08/2025,2025.pdf
Guanajuato,Ago,20.5,01/08/2025,2025.pdf
Guerrero,Ago,25.9,01/08/2025,2025.pdf
Hidalgo,Ago,20.8,01/08/2025,2025.pdf
Jalisco,Ago,23.3,01/08/2025,2025.pdf
Estado de México,Ago,16.8,01/08/2025,2025.pdf
Michoacán,Ago,20.9,01/08/2025,2025.pdf
Morelos,Ago,22.6,01/08/2025,2025.pdf
Nayarit,Ago,28.3,01/08/2025,2025.pdf
Nuevo León,Ago,28.8,01/08/2025,2025.pdf
Oaxaca,Ago,25,01/08/2025,2025.pdf
Puebla,Ago,20,01/08/2025,2025.pdf
Querétaro,Ago,21.5,01/08/2025,2025.pdf
Quintana Roo,Ago,29.8,01/08/2025,2025.pdf
San Luis Potosí,Ago,26.3,01/08/2025,2025.pdf
Sinaloa,Ago,30.6,01/08/2025,2025.pdf
Sonora,Ago,32,01/08/2025,2025.pdf
Tabasco,Ago,29.7,01/08/2025,2025.pdf
Tamaulipas,Ago,30.2,01/08/2025,2025.pdf
Tlaxcala,Ago,16.4,01/08/2025,2025.pdf
Veracruz,Ago,26.1,01/08/2025,2025.pdf
Yucatán,Ago,29.2,01/08/2025,2025.pdf
Zacatecas,Ago,20.5,01/08/2025,2025.pdf
Nacional,Ago,26.6,01/08/2025,2025.pdf
Aguascalientes,Sep,20.6,01/09/2025,2025.pdf
Baja California,Sep,25.6,01/09/2025,2025.pdf
Baja California Sur,Sep,29.2,01/09/2025,2025.pdf
Campeche,Sep,29.1,01/09/2025,2025.pdf
Coahuila,Sep,27.1,01/09/2025,2025.pdf
Colima,Sep,28.6,01/09/2025,2025.pdf
Chiapas,Sep,26.4,01/09/2025,2025.pdf
Chihuahua,Sep,23.4,01/09/2025,2025.pdf
Ciudad de México,Sep,19.3,01/09/2025,2025.pdf
Durango,Sep,22.2,01/09/2025,2025.pdf
Guanajuato,Sep,20.7,01/09/2025,2025.pdf
Guerrero,Sep,25.5,01/09/2025,2025.pdf
Hidalgo,Sep,21.1,01/09/2025,2025.pdf
Jalisco,Sep,23.9,01/09/2025,2025.pdf
Estado de México,Sep,17.1,01/09/2025,2025.pdf
Michoacán,Sep,20.7,01/09/2025,2025.pdf
Morelos,Sep,22.5,01/09/2025,2025.pdf
Nayarit,Sep,28.1,01/09/2025,2025.pdf
Nuevo León,Sep,26.5,01/09/2025,2025.pdf
Oaxaca,Sep,24.3,01/09/2025,2025.pdf
Puebla,Sep,19.5,01/09/2025,2025.pdf
Querétaro,Sep,21.3,01/09/2025,2025.pdf
Quintana Roo,Sep,29.2,01/09/2025,2025.pdf
San Luis Potosí,Sep,25.8,01/09/2025,2025.pdf
Sinaloa,Sep,30.1,01/09/2025,2025.pdf
Sonora,Sep,29.5,01/09/2025,2025.pdf
Tabasco,Sep,29.1,01/09/2025,2025.pdf
Tamaulipas,Sep,28.6,01/09/2025,2025.pdf
Tlaxcala,Sep,16.8,01/09/2025,2025.pdf
Veracruz,Sep,25.3,01/09/2025,2025.pdf
Yucatán,Sep,28.7,01/09/2025,2025.pdf
Zacatecas,Sep,20.1,01/09/2025,2025.pdf
Nacional,Sep,25.5,01/09/2025,2025.pdf
Aguascalientes,Oct,18.6,01/10/2025,2025.pdf
Baja California,Oct,20.5,01/10/2025,2025.pdf
Baja California Sur,Oct,26.2,01/10/2025,2025.pdf
Campeche,Oct,27.9,01/10/2025,2025.pdf
Coahuila,Oct,24.6,01/10/2025,2025.pdf
Colima,Oct,28,01/10/2025,2025.pdf
Chiapas,Oct,25.8,01/10/2025,2025.pdf
Chihuahua,Oct,20.6,01/10/2025,2025.pdf
Ciudad de México,Oct,17.9,01/10/2025,2025.pdf
Durango,Oct,20.5,01/10/2025,2025.pdf
Guanajuato,Oct,19,01/10/2025,2025.pdf
