Estado,Mes,Valor,fecha,archivo
Tabasco,May,30.5,01/05/2022,2022.pdf
Tamaulipas,May,29.9,01/05/2022,2022.pdf
Tlaxcala,May,17.8,01/05/2022,2022.pdf
Veracruz,May,26.8,01/05/2022,2022.pdf
Yucatán,May,29.2,01/05/2022,2022.pdf
Zacatecas,May,22.7,01/05/2022,2022.pdf
Nacional,May,25.7,01/05/2022,2022.pdf
Aguascalientes,Jun,21.7,01/06/2022,2022.pdf
Baja California,Jun,25.4,01/06/2022,2022.pdf
Baja California Sur,Jun,26.7,01/06/2022,2022.pdf
Campeche,Jun,28.5,01/06/2022,2022.pdf
Coahuila,Jun,29.5,01/06/2022,2022.pdf
Colima,Jun,28,01/06/2022,2022.pdf
Chiapas,Jun,24.8,01/06/2022,2022.pdf
Chihuahua,Jun,26.6,01/06/2022,2022.pdf
Ciudad de México,Jun,19.3,01/06/2022,2022.pdf
Durango,Jun,24,01/06/2022,2022.pdf
Guanajuato,Jun,21.9,01/06/2022,2022.pdf
Guerrero,Jun,26.3,01/06/2022,2022.pdf
Hidalgo,Jun,20.6,01/06/2022,2022.pdf
Jalisco,Jun,24.2,01/06/2022,2022.pdf
Estado de México,Jun,16.4,01/06/2022,2022.pdf
Michoacán,Jun,22.5,01/06/2022,2022.pdf
Morelos,Jun,23.8,01/06/2022,2022.pdf
Nayarit,Jun,28.4,01/06/2022,2022.pdf
Nuevo León,Jun,28.4,01/06/2022,2022.pdf
Oaxaca,Jun,24.3,01/06/2022,2022.pdf
Puebla,Jun,20.2,01/06/2022,2022.pdf
Querétaro,Jun,22.5,01/06/2022,2022.pdf
Quintana Roo,Jun,28.3,01/06/2022,2022.pdf
San Luis Potosí,Jun,27.1,01/06/2022,2022.pdf
Sinaloa,Jun,30.2,01/06/2022,2022.pdf
Sonora,Jun,30,01/06/2022,2022.pdf
Tabasco,Jun,28.5,01/06/2022,2022.pdf
Tamaulipas,Jun,29.8,01/06/2022,2022.pdf
Tlaxcala,Jun,17,01/06/2022,2022.pdf
Veracruz,Jun,24.7,01/06/2022,2022.pdf
Yucatán,Jun,28.4,01/06/2022,2022.pdf
Zacatecas,Jun,22.1,01/06/2022,2022.pdf
Nacional,Jun,26.4,01/06/2022,2022.pdf
Aguascalientes,Jul,21,01/07/2022,2022.pdf
Baja California,Jul,27.1,01/07/2022,2022.pdf
Baja California Sur,Jul,29,01/07/2022,2022.pdf
Campeche,Jul,28.7,01/07/2022,2022.pdf
Coahuila,Jul,30.1,01/07/2022,2022.pdf
Colima,Jul,28.5,01/07/2022,2022.pdf
Chiapas,Jul,25.3,01/07/2022,2022.pdf
Chihuahua,Jul,26,01/07/2022,2022.pdf
Ciudad de México,Jul,19.7,01/07/2022,2022.pdf
Durango,Jul,23.8,01/07/2022,2022.pdf
Guanajuato,Jul,21.3,01/07/2022,2022.pdf
Guerrero,Jul,26.4,01/07/2022,2022.pdf
Hidalgo,Jul,21.1,01/07/2022,2022.pdf
Jalisco,Jul,23.5,01/07/2022,2022.pdf
Estado de México,Jul,16.6,01/07/2022,2022.pdf
Michoacán,Jul,21.7,01/07/2022,2022.pdf
Morelos,Jul,23.5,01/07/2022,2022.pdf
Nayarit,Jul,28.3,01/07/2022,2022.pdf
Nuevo León,Jul,29.1,01/07/2022,2022.pdf
Oaxaca,Jul,24.8,01/07/2022,2022.pdf
Puebla,Jul,20.2,01/07/2022,2022.pdf
Querétaro,Jul,22.5,01/07/2022,2022.pdf
Quintana Roo,Jul,29,01/07/2022,2022.pdf
San Luis Potosí,Jul,27.1,01/07/2022,2022.pdf
Sinaloa,Jul,30.3,01/07/2022,2022.pdf
Sonora,Jul,30.9,01/07/2022,2022.pdf
Tabasco,Jul,29.3,01/07/2022,2022.pdf
Tamaulipas,Jul,30.7,01/07/2022,2022.pdf
Tlaxcala,Jul,16.9,01/07/2022,2022.pdf
Veracruz,Jul,25,01/07/2022,2022.pdf
Yucatán,Jul,28.6,01/07/2022,2022.pdf
Zacatecas,Jul,21.7,01/07/2022,2022.pdf
Nacional,Jul,26.6,01/07/2022,2022.pdf
Aguascalientes,Ago,20.3,01/08/2022,2022.pdf
Baja California,Ago,28,01/08/2022,2022.pdf
Baja California Sur,Ago,29.2,01/08/2022,2022.pdf
Campeche,Ago,28.8,01/08/2022,2022.pdf
Coahuila,Ago,28.5,01/08/2022,2022.pdf
Colima,Ago,28.2,01/08/2022,2022.pdf
Chiapas,Ago,25.3,01/08/2022,2022.pdf
Chihuahua,Ago,24.2,01/08/2022,2022.pdf
Ciudad de México,Ago,19.1,01/08/2022,2022.pdf
Durango,Ago,22.3,01/08/2022,2022.pdf
Guanajuato,Ago,20.8,01/08/2022,2022.pdf
Guerrero,Ago,26.1,01/08/2022,2022.pdf
Hidalgo,Ago,21.3,01/08/2022,2022.pdf
Jalisco,Ago,23.1,01/08/2022,2022.pdf
Estado de México,Ago,16.1,01/08/2022,2022.pdf
Michoacán,Ago,21.4,01/08/2022,2022.pdf
Morelos,Ago,22.8,01/08/2022,2022.pdf
Nayarit,Ago,27.8,01/08/2022,2022.pdf
Nuevo León,Ago,28.7,01/08/2022,2022.pdf
Oaxaca,Ago,24.4,01/08/2022,2022.pdf
Puebla,Ago,19.9,01/08/2022,2022.pdf
Querétaro,Ago,22.3,01/08/2022,2022.pdf
Quintana Roo,Ago,28.7,01/08/2022,2022.pdf
San Luis Potosí,Ago,27.1,01/08/2022,2022.pdf
Sinaloa,Ago,29.1,01/08/2022,2022.pdf
Sonora,Ago,29.4,01/08/2022,2022.pdf
Tabasco,Ago,29.2,01/08/2022,2022.pdf
Tamaulipas,Ago,30.6,01/08/2022,2022.pdf
Tlaxcala,Ago,16.6,01/08/2022,2022.pdf
Veracruz,Ago,25.3,01/08/2022,2022.pdf
Yucatán,Ago,28.4,01/08/2022,2022.pdf
Zacatecas,Ago,20.9,01/08/2022,2022.pdf
Nacional,Ago,25.9,01/08/2022,2022.pdf
Aguascalientes,Sep,18.3,01/09/2022,2022.pdf
Baja California,Sep,26.8,01/09/2022,2022.pdf
Baja California Sur,Sep,28,01/09/2022,2022.pdf
Campeche,Sep,27.9,01/09/2022,2022.pdf
Coahuila,Sep,25,01/09/2022,2022.pdf
Colima,Sep,27.7,01/09/2022,2022.pdf
Chiapas,Sep,24.8,01/09/2022,2022.pdf
Chihuahua,Sep,22.3,01/09/2022,2022.pdf
Ciudad de México,Sep,18.2,01/09/2022,2022.pdf
Durango,Sep,20.1,01/09/2022,2022.pdf
Guanajuato,Sep,19.4,01/09/2022,2022.pdf
Guerrero,Sep,25.5,01/09/2022,2022.pdf
Hidalgo,Sep,19.8,01/09/2022,2022.pdf
Jalisco,Sep,22.9,01/09/2022,2022.pdf
Estado de México,Sep,15.9,01/09/2022,2022.pdf
Michoacán,Sep,21.1,01/09/2022,2022.pdf
Morelos,Sep,22.1,01/09/2022,2022.pdf
Nayarit,Sep,28.1,01/09/2022,2022.pdf
Nuevo León,Sep,25.1,01/09/2022,2022.pdf
Oaxaca,Sep,23.6,01/09/2022,2022.pdf
Puebla,Sep,19,01/09/2022,2022.pdf
Querétaro,Sep,20.1,01/09/2022,2022.pdf
Quintana Roo,Sep,28.4,01/09/2022,2022.pdf
San Luis Potosí,Sep,24.2,01/09/2022,2022.pdf
Sinaloa,Sep,29.2,01/09/2022,2022.pdf
Sonora,Sep,28.8,01/09/2022,2022.pdf
Tabasco,Sep,27.8,01/09/2022,2022.pdf
Tamaulipas,Sep,27.6,01/09/2022,2022.pdf
Tlaxcala,Sep,16.1,01/09/2022,2022.pdf
Veracruz,Sep,23.9,01/09/2022,2022.pdf
Yucatán,Sep,27.9,01/09/2022,2022.pdf
Zacatecas,Sep,19.2,01/09/2022,2022.pdf
Nacional,Sep,24.5,01/09/2022,2022.pdf
Aguascalientes,Oct,17.2,01/10/2022,2022.pdf
Baja California,Oct,22.8,01/10/2022,2022.pdf
Baja California Sur,Oct,25.2,01/10/2022,2022.pdf
Campeche,Oct,27.1,01/10/2022,2022.pdf
Coahuila,Oct,21.2,01/10/2022,2022.pdf
Colima,Oct,27.6,01/10/2022,2022.pdf
Chiapas,Oct,24.3,01/10/2022,2022.pdf
Chihuahua,Oct,18.1,01/10/2022,2022.pdf
Ciudad de México,Oct,18.2,01/10/2022,2022.pdf
Durango,Oct,17.7,01/10/2022,2022.pdf
Guanajuato,Oct,18.8,01/10/2022,2022.pdf
Guerrero,Oct,25.7,01/10/2022,2022.pdf
Hidalgo,Oct,18.9,01/10/2022,2022.pdf
Jalisco,Oct,21.9,01/10/2022,2022.pdf
Estado de México,Oct,15.4,01/10/2022,2022.pdf
Michoacán,Oct,20.7,01/10/2022,2022.pdf
Morelos,Oct,22.4,01/10/2022,2022.pdf
Nayarit,Oct,27,01/10/2022,2022.pdf
Nuevo León,Oct,21.6,01/10/2022,2022.pdf
Oaxaca,Oct,23.3,01/10/2022,2022.pdf
Puebla,Oct,18.6,01/10/2022,2022.pdf
Querétaro,Oct,19.7,01/10/2022,2022.pdf
Quintana Roo,Oct,27.5,01/10/2022,2022.pdf
San Luis Potosí,Oct,22.2,01/10/2022,2022.pdf
Sinaloa,Oct,27.4,01/10/2022,2022.pdf
Sonora,Oct,23.9,01/10/2022,2022.pdf
Tabasco,Oct,27.5,01/10/2022,2022.pdf
Tamaulipas,Oct,24.5,01/10/2022,2022.pdf
Tlaxcala,Oct,16.1,01/10/2022,2022.pdf
Veracruz,Oct,22.8,01/10/2022,2022.pdf
Yucatán,Oct,26.6,01/10/2022,2022.pdf
Zacatecas,Oct,17.7,01/10/2022,2022.pdf
Nacional,Oct,22.1,01/10/2022,2022.pdf
Aguascalientes,Nov,15.9,01/11/2022,2022.pdf
Baja California,Nov,15.2,01/11/2022,2022.pdf
Baja California Sur,Nov,21,01/11/2022,2022.pdf
Campeche,Nov,26.7,01/11/2022,2022.pdf
Coahuila,Nov,17,01/11/2022,2022.pdf
Colima,Nov,27,01/11/2022,2022.pdf
Chiapas,Nov,23.9,01/11/2022,2022.pdf
Chihuahua,Nov,13.2,01/11/2022,2022.pdf
Ciudad de México,Nov,17.4,01/11/2022,2022.pdf
Durango,Nov,14.7,01/11/2022,2022.pdf
Guanajuato,Nov,17.9,01/11/2022,2022.pdf
Guerrero,Nov,25.5,01/11/2022,2022.pdf
Hidalgo,Nov,18.1,01/11/2022,2022.pdf
Jalisco,Nov,20.3,01/11/2022,2022.pdf
Estado de México,Nov,14.7,01/11/2022,2022.pdf
Michoacán,Nov,20.4,01/11/2022,2022.pdf
Morelos,Nov,22,01/11/2022,2022.pdf
Nayarit,Nov,24.1,01/11/2022,2022.pdf
Nuevo León,Nov,18.4,01/11/2022,2022.pdf
Oaxaca,Nov,23,01/11/2022,2022.pdf
Puebla,Nov,18,01/11/2022,2022.pdf
Querétaro,Nov,18.9,01/11/2022,2022.pdf
Quintana Roo,Nov,26.9,01/11/2022,2022.pdf
San Luis Potosí,Nov,20.7,01/11/2022,2022.pdf
Sinaloa,Nov,22.5,01/11/2022,2022.pdf
Sonora,Nov,16.6,01/11/2022,2022.pdf
Tabasco,Nov,27,01/11/2022,2022.pdf
Tamaulipas,Nov,21.6,01/11/2022,2022.pdf
Tlaxcala,Nov,15.4,01/11/2022,2022.pdf
Veracruz,Nov,21.8,01/11/2022,2022.pdf
Yucatán,Nov,26.3,01/11/2022,2022.pdf
Zacatecas,Nov,16.3,01/11/2022,2022.pdf
Nacional,Nov,19.1,01/11/2022,2022.pdf
Aguascalientes,Dic,13.8,01/12/2022,2022.pdf
Baja California,Dic,13.3,01/12/2022,2022.pdf
Baja California Sur,Dic,19.1,01/12/2022,2022.pdf
Campeche,Dic,25.1,01/12/2022,2022.pdf
Coahuila,Dic,14.9,01/12/2022,2022.pdf
Colima,Dic,25.8,01/12/2022,2022.pdf
Chiapas,Dic,22.2,01/12/2022,2022.pdf
Chihuahua,Dic,12,01/12/2022,2022.pdf
Ciudad de México,Dic,15.2,01/12/2022,2022.pdf
Durango,Dic,13.9,01/12/2022,2022.pdf
Guanajuato,Dic,15.5,01/12/2022,2022.pdf
Guerrero,Dic,23.9,01/12/2022,2022.pdf
Hidalgo,Dic,15.3,01/12/2022,2022.pdf
Jalisco,Dic,18,01/12/2022,2022.pdf
Estado de México,Dic,13.1,01/12/2022,2022.pdf
Michoacán,Dic,17.5,01/12/2022,2022.pdf
Morelos,Dic,19.5,01/12/2022,2022.pdf
Nayarit,Dic,21.8,01/12/2022,2022.pdf
Nuevo León,Dic,16,01/12/2022,2022.pdf
Oaxaca,Dic,20.4,01/12/2022,2022.pdf
Puebla,Dic,15.6,01/12/2022,2022.pdf
Querétaro,Dic,15.7,01/12/2022,2022.pdf
Quintana Roo,Dic,25.2,01/12/2022,2022.pdf
San Luis Potosí,Dic,18.3,01/12/2022,2022.pdf
Sinaloa,Dic,20.6,01/12/2022,2022.pdf
Sonora,Dic,15.2,01/12/2022,2022.pdf
Tabasco,Dic,25.7,01/12/2022,2022.pdf
Tamaulipas,Dic,19.3,01/12/2022,2022.pdf
Tlaxcala,Dic,12.4,01/12/2022,2022.pdf
Veracruz,Dic,19.8,01/12/2022,2022.pdf
Yucatán,Dic,24.8,01/12/2022,2022.pdf
Zacatecas,Dic,14.1,01/12/2022,2022.pdf
Nacional,Dic,17.3,01/12/2022,2022.pdf
Aguascalientes,Ene,13.3,01/01/2023,2023.pdf
Baja California,Ene,12.8,01/01/2023,2023.pdf
Baja California Sur,Ene,17.9,01/01/2023,2023.pdf
Campeche,Ene,25.3,01/01/2023,2023.pdf
Coahuila,Ene,16,01/01/2023,2023.pdf
Colima,Ene,24.8,01/01/2023,2023.pdf
Chiapas,Ene,22.7,01/01/2023,2023.pdf
Chihuahua,Ene,11.3,01/01/2023,2023.pdf
Ciudad de México,Ene,15.4,01/01/2023,2023.pdf
Durango,Ene,13,01/01/2023,2023.pdf
Guanajuato,Ene,15.5,01/01/2023,2023.pdf
Guerrero,Ene,23.9,01/01/2023,2023.pdf
Hidalgo,Ene,16,01/01/2023,2023.pdf
Jalisco,Ene,17.4,01/01/2023,2023.pdf
Estado de México,Ene,12.2,01/01/2023,2023.pdf
Michoacán,Ene,17.5,01/01/2023,2023.pdf
Morelos,Ene,19.7,01/01/2023,2023.pdf
Nayarit,Ene,20.8,01/01/2023,2023.pdf
Nuevo León,Ene,17.6,01/01/2023,2023.pdf
Oaxaca,Ene,21.2,01/01/2023,2023.pdf
Puebla,Ene,16.1,01/01/2023,2023.pdf
Querétaro,Ene,16.3,01/01/2023,2023.pdf
Quintana Roo,Ene,25.2,01/01/2023,2023.pdf
San Luis Potosí,Ene,19.1,01/01/2023,2023.pdf
Sinaloa,Ene,19.8,01/01/2023,2023.pdf
Sonora,Ene,13.7,01/01/2023,2023.pdf
Tabasco,Ene,25.4,01/01/2023,2023.pdf
Tamaulipas,Ene,20.7,01/01/2023,2023.pdf
Tlaxcala,Ene,12.6,01/01/2023,2023.pdf
Veracruz,Ene,20.2,01/01/2023,2023.pdf
Yucatán,Ene,24.6,01/01/2023,2023.pdf
Zacatecas,Ene,13.6,01/01/2023,2023.pdf
Nacional,Ene,17.1,01/01/2023,2023.pdf
Aguascalientes,Feb,15.8,01/02/2023,2023.pdf
Baja California,Feb,12.4,01/02/2023,2023.pdf
Baja California Sur,Feb,17.7,01/02/2023,2023.pdf
Campeche,Feb,26,01/02/2023,2023.pdf
Coahuila,Feb,16.8,01/02/2023,2023.pdf
Colima,Feb,25.5,01/02/2023,2023.pdf
Chiapas,Feb,23.1,01/02/2023,2023.pdf
Chihuahua,Feb,12.3,01/02/2023,2023.pdf
Ciudad de México,Feb,16.5,01/02/2023,2023.pdf
Durango,Feb,14.5,01/02/2023,2023.pdf
Guanajuato,Feb,17.2,01/02/2023,2023.pdf
Guerrero,Feb,25.1,01/02/2023,2023.pdf
Hidalgo,Feb,17,01/02/2023,2023.pdf
Jalisco,Feb,19.4,01/02/2023,2023.pdf
Estado de México,Feb,13.4,01/02/2023,2023.pdf
Michoacán,Feb,19.1,01/02/2023,2023.pdf
Morelos,Feb,21.5,01/02/2023,2023.pdf
Nayarit,Feb,22.2,01/02/2023,2023.pdf
Nuevo León,Feb,18.4,01/02/2023,2023.pdf
Oaxaca,Feb,22.9,01/02/2023,2023.pdf
Puebla,Feb,17,01/02/2023,2023.pdf
Querétaro,Feb,17.6,01/02/2023,2023.pdf
Quintana Roo,Feb,25.7,01/02/2023,2023.pdf
San Luis Potosí,Feb,19.9,01/02/2023,2023.pdf
Sinaloa,Feb,19.9,01/02/2023,2023.pdf
Sonora,Feb,14.2,01/02/2023,2023.pdf
Tabasco,Feb,25.7,01/02/2023,2023.pdf
Tamaulipas,Feb,20.6,01/02/2023,2023.pdf
Tlaxcala,Feb,14.2,01/02/2023,2023.pdf
Veracruz,Feb,20.3,01/02/2023,2023.pdf
Yucatán,Feb,25.4,01/02/2023,2023.pdf
Zacatecas,Feb,15.7,01/02/2023,2023.pdf
Nacional,Feb,18,01/02/2023,2023.pdf
Aguascalientes,Mar,17.8,01/03/2023,2023.pdf
Baja California,Mar,14.4,01/03/2023,2023.pdf
Baja California Sur,Mar,20.2,01/03/2023,2023.pdf
Campeche,Mar,28.1,01/03/2023,2023.pdf
Coahuila,Mar,21.2,01/03/2023,2023.pdf
Colima,Mar,25.2,01/03/2023,2023.pdf
Chiapas,Mar,25.2,01/03/2023,2023.pdf
Chihuahua,Mar,16,01/03/2023,2023.pdf
Ciudad de México,Mar,18.8,01/03/2023,2023.pdf
Durango,Mar,18.1,01/03/2023,2023.pdf
Guanajuato,Mar,20.1,01/03/2023,2023.pdf
Guerrero,Mar,25.9,01/03/2023,2023.pdf
Hidalgo,Mar,20,01/03/2023,2023.pdf
Jalisco,Mar,21.1,01/03/2023,2023.pdf
Estado de México,Mar,15.7,01/03/2023,2023.pdf
Michoacán,Mar,21,01/03/2023,2023.pdf
Morelos,Mar,23.5,01/03/2023,2023.pdf
Nayarit,Mar,22.3,01/03/2023,2023.pdf
Nuevo León,Mar,22.3,01/03/2023,2023.pdf
Oaxaca,Mar,24.8,01/03/2023,2023.pdf
Puebla,Mar,19.6,01/03/2023,2023.pdf
Querétaro,Mar,21.3,01/03/2023,2023.pdf
Quintana Roo,Mar,26.9,01/03/2023,2023.pdf
San Luis Potosí,Mar,23.7,01/03/2023,2023.pdf
Sinaloa,Mar,21.8,01/03/2023,2023.pdf
Sonora,Mar,17.5,01/03/2023,2023.pdf
Tabasco,Mar,28.3,01/03/2023,2023.pdf
Tamaulipas,Mar,24.7,01/03/2023,2023.pdf
Tlaxcala,Mar,16.3,01/03/2023,2023.pdf
Veracruz,Mar,23.6,01/03/2023,2023.pdf
Yucatán,Mar,27.4,01/03/2023,2023.pdf
Zacatecas,Mar,18.2,01/03/2023,2023.pdf
Nacional,Mar,20.9,01/03/2023,2023.pdf
Aguascalientes,Abr,19.5,01/04/2023,2023.pdf
Baja California,Abr,16.9,01/04/2023,2023.pdf
