horizonte,modelo,insumo_id,mae_pp,n,excluidas
2,participacion_ewm,dlr_malvavisco_chocolate_32_pz,0.0005480358172439964,14,11
2,participacion_ewm,domo_1_4_plancha,0.16722454231936784,14,11
2,participacion_ewm,domo_cupcake_12,1.7827044211650163,14,11
2,participacion_ewm,domo_cupcake_6,0.0004955211026860817,14,11
2,participacion_ewm,domo_cupcake_sin_capacidad,4.831384766579444e-16,14,11
2,participacion_ewm,domo_media_plancha_inix,1.7720947362204937,14,11
2,participacion_ewm,easy_pastel_tres_leches_sabor_no_especificado,6.62776671652436e-07,14,11
2,participacion_ewm,empaque_30_x_30_x_30,0.035734709746419194,14,11
2,participacion_ewm,empaque_31_x_31_x_20,0.024484893715139084,14,11
2,participacion_ewm,empaque_32_x_32_x_30,0.038381725283191,14,11
2,participacion_ewm,ferrero_rocher_t16,0.02940152108149694,14,11
2,participacion_ewm,ferrero_sin_especificacion,1.4713863488377084e-06,14,11
2,participacion_ewm,fondant_nata_coco_blanco,7.483227650133031,14,11
2,participacion_ewm,fondant_sin_especificacion,0.01448158575768413,14,11
2,participacion_ewm,harina_red_velvet_esp,3.7453613461260585e-11,14,11
2,participacion_ewm,huevo_blanco_tepa_de_linea,3.9381584792937336e-05,14,11
2,participacion_ewm,huevo_calvario,0.5971736812500613,14,11
2,participacion_ewm,huevo_san_juan,0.0010095377600391998,14,11
2,participacion_ewm,huevo_sin_especificacion,1.2769046835892843,14,11
2,participacion_ewm,inix_contenedor_mantecadas,3.0645403086032825e-16,14,11
2,participacion_ewm,kisses_leche,0.3919717225665938,14,11
2,participacion_ewm,kisses_leche_choc_bl_807_gr,8.550440162270063e-07,14,11
2,participacion_ewm,kit_kat_9_pz,0.3230889678906376,14,11
2,participacion_ewm,mangas,0.12029413006686429,14,11
2,participacion_ewm,mantequilla_gloria_22,5.729914658635397e-06,14,11
2,participacion_ewm,mantequilla_gloria_presentacion_no_especificada,12.811153862162842,14,11
2,participacion_ewm,mantequilla_gloria_verde,5.1421555314278935,14,11
2,participacion_ewm,matizador,0.01032223141635369,14,11
2,participacion_ewm,nutella,4.326774100452655,14,11
2,participacion_ewm,oblea_arroz,1.2330930977230519,14,11
2,participacion_ewm,oreo_273_6,0.011899496985118585,14,11
2,participacion_ewm,otros,13.381687101511526,14,11
2,participacion_ewm,pegamento_fondant,0.30923483054119727,14,11
2,participacion_ewm,perlas_sin_especificacion,0.0004174670879779171,14,11
2,participacion_ewm,queso_crema_suelto,3.4628429671796987e-07,14,11
2,participacion_ewm,queso_philadelphia,2.60513342382728,14,11
2,participacion_ewm,red_velvet,3.7926190062671345e-09,14,11
2,participacion_ewm,relleno_durazno_puratos,0.4422879368583872,14,11
2,participacion_ewm,relleno_fresa_frutifru,0.0013815435507464576,14,11
2,participacion_ewm,relleno_queso_creme_p,0.00023123326812379738,14,11
2,participacion_ewm,relleno_zarzamora_fruitfil_puratos,3.8514165134786986,14,11
2,participacion_ewm,relleno_zarzamora_puratos,0.0003581632318925526,14,11
2,participacion_ewm,royal_icing_deiman_50_sin_unidad,3.12230761377613e-07,14,11
2,participacion_ewm,royal_icing_sin_especificacion,0.24336928058728718,14,11
2,participacion_ewm,sabrosano,1.2783492327745634,14,11
2,participacion_ewm,tegral_satin_chocolate,7.024691449099592,14,11
2,participacion_ewm,tegral_satin_creme_cake_sabor_no_especificado,1.378642593801694,14,11
2,participacion_ewm,tegral_satin_red_velvet,5.339125733179734,14,11
2,participacion_ewm,tegral_satin_vainilla,8.586484078715698,14,11
2,participacion_ewm,transfer_hoja_de_arroz_gruesa,2.4117046019448267,14,11
2,participacion_ewm,transfer_sin_especificacion,0.001162746358082143,14,11
2,participacion_historica,ac_au800,0.43620245581913775,14,11
2,participacion_historica,aceite_sin_especificacion,0.979682931499676,14,11
2,participacion_historica,alpezzi_blanco,0.14123259837058735,14,11
2,participacion_historica,azucar_glass,0.28051328844470796,14,11
2,participacion_historica,bailey_s,0.5058298107024858,14,11
2,participacion_historica,base_28_cm,0.47022578070439774,14,11
2,participacion_historica,base_36_cm_doble,0.13370929363645043,14,11
2,participacion_historica,bisagra_12_cupcakes,0.26173164040335534,14,11
2,participacion_historica,botellas_jack_daniels,0.06544873203436162,14,11
2,participacion_historica,caja_cupcake_12,0.5155762370812008,14,11
2,participacion_historica,caja_cupcake_6,1.4774707246699104,14,11
2,participacion_historica,caja_cupcake_sin_capacidad,0.963313855285078,14,11
2,participacion_historica,caja_de_carton_para_cupcake_6_pz,0.7563896857798628,14,11
2,participacion_historica,capacillo_floreado_alegria,0.08314812147288804,14,11
2,participacion_historica,capacillos,3.5109953110378656,14,11
2,participacion_historica,carlos_v_stick,0.24718553036622107,14,11
2,participacion_historica,cereza_con_rabo_diana,0.14900864484119877,14,11
2,participacion_historica,chantilly_asturias,2.5883487497241924,14,11
2,participacion_historica,chantilly_dulce,2.883859399714185,14,11
2,participacion_historica,chantilly_dull,1.4780533218623155,14,11
2,participacion_historica,chantilly_sin_especificacion,5.157242926305579,14,11
2,participacion_historica,charola_galletera_alta_grande,0.1676829725486539,14,11
2,participacion_historica,chips_blanco_alpezzi,7.547922880228904,14,11
2,participacion_historica,chips_chocolate_con_l,0.27700971559249515,14,11
2,participacion_historica,chips_chocolate_semi,0.6609541937550435,14,11
2,participacion_historica,chips_rojo_alpezzi,0.8288475623867404,14,11
2,participacion_historica,chocolate_sin_especificacion,0.403806402401541,14,11
