insumo,importe,acumulado_pct
base_dorada_pasteloso_30_cm,60.0,91.1653117030954
base,60.0,91.25752268736005
nuez,58.0,91.34665997214923
mantequilla_225_g,58.0,91.43579725693839
escencia_menta,57.0,91.52339769198981
capacillos_blanco_hollidays,56.0,91.6094612773035
capacillo_blanco_mini_corazones,56.0,91.69552486261718
capacillo_no_72_decorado_25_pz,55.650000000000006,91.78105055052265
cajas,55.5,91.86634571096745
base_40_cm_doble,55.0,91.95087244654339
galleta_oreo_relleno,55.0,92.03539918211932
capacillo_72,55.0,92.11992591769526
turin_conejos_mini_120_gr,54.62,92.20386865037085
base_25_cm_doble,54.0,92.28685853620904
dlr_malv_c_chocolate_50_pz,53.99,92.36983305354985
cerezas,53.5,92.45205451451918
gv_azucar,52.0,92.53197070088187
puratos_tres_leches,51.5,92.61111846237571
tregal_satin_creme_ca,51.0,92.68949779900066
kisses_rojo,50.0,92.76634028588788
avellana,50.0,92.8431827727751
capacillo_dorado,49.5,92.91925683479343
iberia,49.0,92.9945624719429
kiss_rosa,48.5,93.0690996842235
papel_encerado,48.5,93.1436368965041
chips_negro_alpezzi_c_500_g,48.0,93.21740568391583
huevo_blanco,48.0,93.29117447132754
diamantina,48.0,93.36494325873927
hoja_comestible_de_oro_colores,48.0,93.438712046151
harina,47.5,93.51171240869385
base_dorada_pasteloso_46_x_66_cm,46.0,93.58240749663008
color_humedo,46.0,93.65310258456633
confeti,45.0,93.72226082276481
durazno_en_almibar_na,45.0,93.7914190609633
gv_durazno,45.0,93.86057729916179
durazno_mitades_en_almibar_820_g,45.0,93.92973553736029
galleta,45.0,93.99889377555878
vela_baby_yoda,45.0,94.06805201375728
panera_16_cm,45.0,94.13721025195578
jarabe_tres_leches_dulcerito_puratos,45.0,94.20636849015426
base_liston_sin_medida,44.0,94.27398987861501
turin_semi_trozo,44.0,94.34161126707576
granillo_chocolate_semiamargo,44.0,94.40923265553651
alegria_capacillo_met_dorado_50_pz,43.5,94.47608561912838
rebanadas_de_pina_en_almibar_800_g,43.0,94.54217015785139
manga_fresa_pura,43.0,94.60825469657439
color_rosa_brillante_enco_40_g,43.0,94.6743392352974
perla,42.5,94.73965534915153
deiman_aditivo_para_chocolate,42.17,94.80446430259221
caja_de_acetato_17_x_11_x_3,42.0,94.86901199157745
caja_acetato_17_x_11_x_13,42.0,94.93355968056272
carboximetil_celulosa_deiman,42.0,94.99810736954798
deiman_bioxido_de_titanio,41.94,95.06256284754897
oreo_fudge,41.5,95.12634211166537
nido_forti,41.0,95.18935295091289
letrero,40.0,95.25082694042266
rk_malv,40.0,95.31230092993242
rich_pina_colada,40.0,95.37377491944218
domo_15_14,40.0,95.43524890895196
puratos_creamfil_creme_choco,39.7,95.49626184354041
alegria_capacillo_velitas_cumpl_100_pz,39.15,95.5564295107731
capacillos_4_tubo,39.0,95.61636665054513
gv_glass,38.9,95.67615010534338
domo_db3525a,38.0,95.73455039537765
sabor_red_velvet,38.0,95.79295068541195
carlos_v,38.0,95.85135097544622
entrepiso,37.5,95.90898284061163
