descripcion_normalizada,insumo_id,aprobado
CREMA PASTELERA COCO,,False
CREMA TIPO CHANTILLI,,False
CREMAS,,False
CREMFIL CREAM CHEESE FILLING PURATOS,,False
CUBREBOCA TRICAPA NEGRO Y DE,,False
CUPCAKE 12,,False
CUPCAKE 6,,False
CUPCAKES DE 6 CAV,,False
DE ABEJA,,False
DEIMAN ADITIVO PARA CHOCOLATE,,False
DEIMAN BIOXIDO DE TITANIO,,False
DEIMAN PLUMONES MAGICOS,,False
DEIMAN SAB LIQ VAINILLA SIN COLOR 500 ML,,False
DESCONOCIDO,,False
DIAMANTINA,,False
DIANA CEREZA C/TALLO,,False
DIFERENCIA CONTRA LO COBRADO,,False
DISCO BLANCO PASTELOSO 20 CM,,False
DISCO DORADO PASTELOSO 16 CM,,False
DISCO DORADO PASTELOSO 32 CM,,False
DISCO PLATEADO PASTELOSO 20 CM,,False
DJANA CEREZA C/ TALLO 460G,,False
DLR MALV C/ CHOCOLATE 32 PZ,,False
DLR MALV C/CHOCOLATE 32 PZ,,False
DLR MALV C/CHOCOLATE 50 PZ,,False
DMONTE ELOTE,,False
DOLCA,,False
DOMO,,False
DOMO 1/2 DE PLANCHA INIX,,False
DOMO 1/2 DE PLANCHA INIX 25 PZS,,False
DOMO 1/2 PLANCHA,,False
DOMO 1/2 PLANCHA INI,,False
DOMO 1/4 PLANCHA,,False
DOMO 12,,False
DOMO 15-14,,False
DOMO 23 CM,,False
DOMO 25 CM,,False
DOMO 28 CM INIX MEDIA,,False
DOMO 4 MAN,,False
DOMO 6 CUPCAKES,,False
DOMO ALTO 33 CM INIX,,False
DOMO CUPCAKE 12 CAV,,False
DOMO CUPCAKE 6 CAV,,False
DOMO DB09 27 CM WOW,,False
DOMO DB3525A,,False
DOMO DF12A 34CM WOW,,False
DOMO ERA 2416-10M,,False
DOMO GRANDE,,False
DOMO MANTECADA 12 CAVIDADES,,False
DOMO MANTECADA 6 CAVIDADES,,False
DOMO PARA CUPCAKE,,False
DOMO PARA CUPCAKE 12 PIEZAS,,False
DOMO PARA CUPCAKE 6 PIEZAS,,False
DOMO PARA CUPCAKES,,False
DOMO RIGIDO 35-25 INIX,,False
DURAZNO EN ALMIBAR NA,,False
DURAZNO MITADES EN ALMIBAR 820G,,False
DUYA,,False
DUYA ALUMINIO REPO NO. 70,,False
DUYA PASTO CHICA,,False
EASY PASTEL TRES LECHES,,False
EASY PASTEL TRES LECHES CHOCOLATE,,False
EASY PASTEL TRES LECHES VAINILLA,,False
ENCAJE,,False
ENTREPISO,,False
ENTREPISO 34 CM,,False
ENTREPISO TETRAPACK,,False
ENTREPISOS,,False
ENVIO,,False
ES,,False
ESCENCIA MENTA,,False
ESCENCIA ROMPOPE,,False
ESPATULA,,False
ESPATULA PARA LEVANTAR PASTEL,,False
"ESPATULA, REBANADOR DE PASTEL, MOLDES, PIPETILLAS, MANDIL, AGUJA PRUEBA DE PASTEL",,False
ESPATULAS,,False
ESTRELLA COLORES,,False
ESTRELLAS,,False
ESTRUCTURA,,False
EVAPORADA,,False
EXTRUDE,,False
FECULA DE MAIZ,,False
FENIX CUCHARA PASTELERA 50 PZ,,False
FERRERO,,False
FERRERO ROCHER,,False
FERRERO ROCHER T-10,,False
FERRERO ROCHER T-16,,False
FIORENTINA MANGA NO 12 10 PZ,,False
FIORENTINA VELA LUCES P/PASTEL,,False
FIORENTINA VELA LUCES PASTEL GR,,False
FLOR ARTIFICIAL LILY,,False
FLOR ARTIFICIAL TULIPAN,,False
FOAMI CON DIAMANTINA CARTA,,False
FONDANT SABOR NATA COCO BLANCO,,False
FOUNDANT,,False
FOUNDANT SABOR NATA COCO BLANCO,,False
FRESA PURATOS,,False
GALLETA,,False
GALLETA OREO,,False
GALLETA OREO BASE,,False
GALLETA OREO RELLENO,,False
GALLETA OREO SUELTA,,False
GAS LP,,False
GASOLINA,,False
GASOLINA (APROX),,False
GERBERA,,False
GLORIA MAN,,False
GOMA ARO DURAZNO LUCK,,False
GOMA ARO MANZANA LUCKY GUMMYS,,False
GOMA RICOLINO,,False
GRANILLO ALPESSI COLO,,False
GRANILLO CHICO,,False
GRANILLO CHOCOLATE COMBINADO TURIN,,False
GRANILLO CHOCOLATE SEMIAMARGO,,False
GRANILLO MAGIC COLORS - VARIOS,,False
GRANILLO MAGIC SPARKL,,False
GRANILLO SEMIAMARGO TURIN,,False
GRANILLO T.S,,False
GRANILLO TURIN,,False
GRANILLO TURIN BLANCO,,False
GRANILLO TURIN LECHE,,False
GRANILLO TURIN SEMI AMARGO,,False
GUANTE ESTERIL-PAR (LATEX),,False
GV A 10W L,,False
GV AZUCAR,,False
GV BARQ CH,,False
GV DURAZNO,,False
GV GLASS,,False
H. VAINILLA 3L,,False
HARINA,,False
HARINA CHOC,,False
HARINA DE TRIGO,,False
HARINA DE TRIGO SUELTA,,False
HARINA PINA COLADA ESPIGA MIX,,False
HARINA PURATOS CHOCOLATE,,False
HARINA PURATOS VAINILLA,,False
HARINA RED VELVET ESP,,False
HARINA RICH VAINILLA,,False
HARINA SELECTA,,False
HARINA TRI,,False
HARINA TRIGO,,False
HOJA COMESTIBLE DE ORO (COLORES),,False
HOJA DE ARROZ GRUESA,,False
HOJAS DE ARROZ,,False
HUE12PZCR,,False
HUE1PZSAN,,False
HUEVO,,False
HUEVO AURRERA,,False
HUEVO BLAN,,False
HUEVO BLANCO,,False
HUEVO BLANCO LOS ALTOS KILO,,False
HUEVO BLANCO PZ,,False
HUEVO BLANCO SAN JUAN,,False
HUEVO BLANCO TEPA DE LINEA,,False
HUEVO BLANCO TEPA KILO,,False
HUEVO CALVARIO,,False
HUEVO CRESTA ROJ,,False
HUEVO SAN JUAN,,False
IBERIA,,False
IBERIA 200,,False
IBERIA 90,,False
ILEGIBLE (GLATEA),,False
ILEGIBLE (ROODS),,False
INCA MANTE,,False
INIX CONTENEDOR HAM TRANS 14X14 25 PZ,,False
INIX CONTENEDOR MANTECADAS,,False
