etapa,origen,fecha_objetivo,horizonte,entrenamiento_inicio,ultima_etiqueta_entrenamiento,n_entrenamiento_observado,objetivo_observado,motivo
evaluacion,2024-03-04,2024-03-18,3,2022-10-17,2024-02-26,57,False,semana_incierta
evaluacion,2024-03-04,2024-03-25,4,2022-10-17,2024-02-26,56,True,
evaluacion,2024-03-11,2024-03-11,1,2022-10-17,2024-03-04,60,True,
evaluacion,2024-03-11,2024-03-18,2,2022-10-17,2024-03-04,59,False,semana_incierta
evaluacion,2024-03-11,2024-03-25,3,2022-10-17,2024-03-04,58,True,
evaluacion,2024-03-11,2024-04-01,4,2022-10-17,2024-03-04,57,True,
evaluacion,2024-03-18,2024-03-18,1,2022-10-17,2024-03-11,61,False,semana_incierta
evaluacion,2024-03-18,2024-03-25,2,2022-10-17,2024-03-11,60,True,
evaluacion,2024-03-18,2024-04-01,3,2022-10-17,2024-03-11,59,True,
evaluacion,2024-03-18,2024-04-08,4,2022-10-17,2024-03-11,58,True,
evaluacion,2024-03-25,2024-03-25,1,2022-10-17,2024-03-11,61,True,
evaluacion,2024-03-25,2024-04-01,2,2022-10-17,2024-03-11,60,True,
evaluacion,2024-03-25,2024-04-08,3,2022-10-17,2024-03-11,59,True,
evaluacion,2024-03-25,2024-04-15,4,2022-10-17,2024-03-11,58,False,semana_incierta
evaluacion,2024-04-01,2024-04-01,1,2022-10-17,2024-03-25,62,True,
evaluacion,2024-04-01,2024-04-08,2,2022-10-17,2024-03-25,61,True,
evaluacion,2024-04-01,2024-04-15,3,2022-10-17,2024-03-25,60,False,semana_incierta
evaluacion,2024-04-01,2024-04-22,4,2022-10-17,2024-03-25,59,True,
evaluacion,2024-04-08,2024-04-08,1,2022-10-17,2024-04-01,63,True,
evaluacion,2024-04-08,2024-04-15,2,2022-10-17,2024-04-01,62,False,semana_incierta
evaluacion,2024-04-08,2024-04-22,3,2022-10-17,2024-04-01,61,True,
evaluacion,2024-04-08,2024-04-29,4,2022-10-17,2024-04-01,60,True,
evaluacion,2024-04-15,2024-04-15,1,2022-10-17,2024-04-08,64,False,semana_incierta
evaluacion,2024-04-15,2024-04-22,2,2022-10-17,2024-04-08,63,True,
evaluacion,2024-04-15,2024-04-29,3,2022-10-17,2024-04-08,62,True,
evaluacion,2024-04-15,2024-05-06,4,2022-10-17,2024-04-08,61,False,semana_incierta
evaluacion,2024-04-22,2024-04-22,1,2022-10-17,2024-04-08,64,True,
evaluacion,2024-04-22,2024-04-29,2,2022-10-17,2024-04-08,63,True,
evaluacion,2024-04-22,2024-05-06,3,2022-10-17,2024-04-08,62,False,semana_incierta
evaluacion,2024-04-22,2024-05-13,4,2022-10-17,2024-04-08,61,False,semana_incierta
evaluacion,2024-04-29,2024-04-29,1,2022-10-17,2024-04-22,65,True,
evaluacion,2024-04-29,2024-05-06,2,2022-10-17,2024-04-22,64,False,semana_incierta
evaluacion,2024-04-29,2024-05-13,3,2022-10-17,2024-04-22,63,False,semana_incierta
evaluacion,2024-04-29,2024-05-20,4,2022-10-17,2024-04-22,62,False,semana_incierta
evaluacion,2024-05-06,2024-05-06,1,2022-10-17,2024-04-29,66,False,semana_incierta
evaluacion,2024-05-06,2024-05-13,2,2022-10-17,2024-04-29,65,False,semana_incierta
evaluacion,2024-05-06,2024-05-20,3,2022-10-17,2024-04-29,64,False,semana_incierta
evaluacion,2024-05-06,2024-05-27,4,2022-10-17,2024-04-29,63,False,semana_incierta
evaluacion,2024-05-13,2024-05-13,1,2022-10-17,2024-04-29,66,False,semana_incierta
evaluacion,2024-05-13,2024-05-20,2,2022-10-17,2024-04-29,65,False,semana_incierta
evaluacion,2024-05-13,2024-05-27,3,2022-10-17,2024-04-29,64,False,semana_incierta
evaluacion,2024-05-13,2024-06-03,4,2022-10-17,2024-04-29,63,True,
evaluacion,2024-05-20,2024-05-20,1,2022-10-17,2024-04-29,66,False,semana_incierta
evaluacion,2024-05-20,2024-05-27,2,2022-10-17,2024-04-29,65,False,semana_incierta
evaluacion,2024-05-20,2024-06-03,3,2022-10-17,2024-04-29,64,True,
evaluacion,2024-05-20,2024-06-10,4,2022-10-17,2024-04-29,63,False,semana_incierta
evaluacion,2024-05-27,2024-05-27,1,2022-10-17,2024-04-29,66,False,semana_incierta
evaluacion,2024-05-27,2024-06-03,2,2022-10-17,2024-04-29,65,True,
evaluacion,2024-05-27,2024-06-10,3,2022-10-17,2024-04-29,64,False,semana_incierta
evaluacion,2024-05-27,2024-06-17,4,2022-10-17,2024-04-29,63,False,semana_incierta
evaluacion,2024-06-03,2024-06-03,1,2022-10-17,2024-04-29,66,True,
evaluacion,2024-06-03,2024-06-10,2,2022-10-17,2024-04-29,65,False,semana_incierta
evaluacion,2024-06-03,2024-06-17,3,2022-10-17,2024-04-29,64,False,semana_incierta
evaluacion,2024-06-03,2024-06-24,4,2022-10-17,2024-04-29,63,False,semana_incierta
evaluacion,2024-06-10,2024-06-10,1,2022-10-17,2024-06-03,67,False,semana_incierta
evaluacion,2024-06-10,2024-06-17,2,2022-10-17,2024-06-03,66,False,semana_incierta
evaluacion,2024-06-10,2024-06-24,3,2022-10-17,2024-06-03,65,False,semana_incierta
evaluacion,2024-06-10,2024-07-01,4,2022-10-17,2024-06-03,64,False,fuera_del_periodo
evaluacion,2024-06-17,2024-06-17,1,2022-10-17,2024-06-03,67,False,semana_incierta
evaluacion,2024-06-17,2024-06-24,2,2022-10-17,2024-06-03,66,False,semana_incierta
evaluacion,2024-06-17,2024-07-01,3,2022-10-17,2024-06-03,65,False,fuera_del_periodo
evaluacion,2024-06-17,2024-07-08,4,2022-10-17,2024-06-03,64,False,fuera_del_periodo
evaluacion,2024-06-24,2024-06-24,1,2022-10-17,2024-06-03,67,False,semana_incierta
evaluacion,2024-06-24,2024-07-01,2,2022-10-17,2024-06-03,66,False,fuera_del_periodo
evaluacion,2024-06-24,2024-07-08,3,2022-10-17,2024-06-03,65,False,fuera_del_periodo
evaluacion,2024-06-24,2024-07-15,4,2022-10-17,2024-06-03,64,False,fuera_del_periodo
